"purpose","id","survey_lang"
"accessing languages","q_fg64rd_R_0f76d83kxztrbyN","eng"
"Philosophical? To gauge what it means to really ""know"" something with certainty?","q_fg64rd_R_12nF3hXW7Vp5m6l","eng"
"finding out how well people understanding written language","q_fg64rd_R_1Ch28JVLZzBuDBv","eng"
"Not sure","q_fg64rd_R_1CIt7FjSbODlvMh","eng"
"To study perceptions of ""knowledge"" vs ""beliefs"" and if/how these perceptions are impacted by different factors","q_fg64rd_R_1cUFFs15GuNfefh","eng"
"Epistemology and language?","q_fg64rd_R_1DHHBlQHSEevAKr","eng"
"How language can be changed to mean a different set of circumstances depending on the placement of words.","q_fg64rd_R_1EaLRY6Dz6F9nDJ","eng"
"to assess how well people pay attention to what they read and how well they actually understand the English language in comparison to how well they think they understand it","q_fg64rd_R_1HbNjz6fogcSAtd","eng"
"To assess how language affects our perspective of someone's ability versus whether they 'just got lucky'.","q_fg64rd_R_1HnKkQeQIeRzCRI","eng"
"memory test?","q_fg64rd_R_1IK0aPiGoo4rxzY","eng"
"to determine how people interrupt information when given in an unusual way.","q_fg64rd_R_1jIWY0kHo1az08h","eng"
"To understand if people read the story properly, or just skim through the story to get a general idea of what the article is about.","q_fg64rd_R_1KeDPiHLF15Nfwh","eng"
"To understand how people comprehend language?","q_fg64rd_R_1KwfTcnQ3q6wg4Q","eng"
"Study of probability
People's opinion about the outcome of an incident.","q_fg64rd_R_1lnN8cipGx48ZQG","eng"
"our understanding of how we take in information depending on the way its written and what information we are actually given, ultimately influencing the resposes.","q_fg64rd_R_1mmDicduZGuE2F0","eng"
"The way humans make inferences based on what they know, and how factors that are unknown can be overlooked.","q_fg64rd_R_1NerSlMydDKEBZn","eng"
"I think it's about perception not language.","q_fg64rd_R_1OCQIq0XoFjqFJD","eng"
"peoples perspectives (male v female, age)","q_fg64rd_R_1QopoDzTgihoFZA","eng"
"How many participants actually notice/comprehend the most detail in what they read.","q_fg64rd_R_1qUrfwVvSnEk7M7","eng"
"To assess the understanding of the structured sentences.","q_fg64rd_R_1zcO3v1VwKAbNgB","eng"
"I think it was for how we interpret language and how our perceptions shapes  how we use language","q_fg64rd_R_21btqFwqsjbuIDs","eng"
