"lab_code","Person","Use","Compensation","UN_Region"
"a6aefd","bfe85dfa8a47470e2600b4bae1dfe4c1","Yes","sweets","Western Europe"
"086a2b","bfe85dfa8a47470e2600b4bae1dfe4c1","Yes","sweets","Western Europe"
"905904","bfe85dfa8a47470e2600b4bae1dfe4c1","Yes","sweets","Western Europe"
"098ad3","d547b0fe851b1f8786fce767e3d89f50","Yes","Course Credit","Northern America"
"12c361","82d647ec9366dd067a092145d7d8ee7b","Yes","Course Credit","Northern Europe"
"6ce754","ccc20a00466f0c4077f924733e9a3789","Yes","Sweets for In Vivo participants 
Nothing for online participants","Northern Europe"
"cabbe9","a5e2ba5c7fcf9a90c4bc1b5ed666f57b","Yes","None","Eastern Europe"
"d47b47","a5e2ba5c7fcf9a90c4bc1b5ed666f57b","Yes","None","Eastern Europe"
"c1e6b4","a5e2ba5c7fcf9a90c4bc1b5ed666f57b","Yes","None","Eastern Europe"
"ee46af","3b4e9381f4aafb032e37c0d5fa732aba","Yes","Course Credit","Southeastern Asia"
"1c0a06","3e1f2a5e94450c8371562c74671ace76","Yes","Lottery","Australia and New Zealand"
"5a0c34","fd5a38067cf64a3e10ae8e92f015be4e","Yes","-","Northern America"
"8e07d1","fd5a38067cf64a3e10ae8e92f015be4e","Yes","Course Credit","Northern America"
"0eb4a7","ecb1153cd73ee30290a753fb74358c19","Yes","Course Credit","Northern America"
"a3e428","4f86a6d4b553a44559cde3ceba92b330","Yes","Unsure","Western Europe"
"6280c3","053921f004965238755a0b08414ad61f","Yes","Course Credit","Northern America"
"07cc8d","053921f004965238755a0b08414ad61f","Yes","-","Northern America"
"f7f855","b6bab6f7c2e61741dcdc1689c30fc5fb","Yes","Unsure","Northern America"
"521d24","9b3ad5ab27aa66b9801d3276662d71c4","Yes","Unsure","Western Europe"
"d6a41e","63947e8c9e47bc0056f78f402f3898f1","Yes","Course Credit","Northern America"
"c89c37","7898bca2938d7b6d8a82093ddffb15dc","Yes","Course Credit","Northern America"
