"id","survey_lang","previous","1","2","3","score_1","score_2","score_3","count","sum","exclude","nonsense","coder"
"s1205","zho","TEST","test","test",NA,"2","2",NA,2,4,TRUE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s2227","zho","TESt","test","test",NA,"2","2",NA,2,4,TRUE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s2228","zho","TEST","test","test",NA,"2","2",NA,2,4,TRUE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4080","zho","<U+6C92><U+6709>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4088","zho","<U+6C92><U+6709><U+3002>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4098","zho","<U+6C92><U+6709><U+8036>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4140","zho","<U+6709>,<U+91DD><U+5C0D><U+4E00><U+7A2E><U+884C><U+70BA><U+3001><U+4E0D><U+540C><U+5834><U+6240><U+7684><U+5408><U+7406><U+6027><U+53CA><U+5230><U+9053><U+5FB7><U+6027><U+9032><U+884C><U+8A55><U+65B7>;<U+96A8><U+5F8C><U+95B1><U+8B80><U+77ED><U+7BC7><U+6545><U+4E8B>,<U+4E26><U+4E14><U+91DD><U+5C0D><U+6545><U+4E8B><U+4E2D><U+4EBA><U+7269><U+7684><U+5FC3><U+60C5><U+9032><U+884C><U+6A21><U+64EC><U+3002>","maybe","no",NA,"1","0",NA,2,1,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4142","zho","<U+7121>","na","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4159","zho","<U+6C92><U+6709>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4160","zho","<U+6C92><U+6709>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4191","zho","<U+770B><U+4E00><U+6BB5><U+5F71><U+7247>,<U+5224><U+65B7><U+5167><U+5BB9><U+7684><U+771F><U+5BE6><U+6027>","na","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4194","zho","<U+985E><U+4F3C><U+95B1><U+8B80><U+6587><U+7AE0><U+4E26><U+4F5C><U+7B54><U+7684><U+7814><U+7A76>,<U+90A3><U+500B><U+7814><U+7A76><U+4E2D><U+9014><U+6703><U+63D2><U+5165><U+81EA><U+88FD><U+5EE3><U+544A><U+6A21><U+64EC><U+7DB2><U+7AD9><U+7684><U+5F48><U+51FA><U+5F0F><U+5EE3><U+544A>,<U+4E26><U+9032><U+884C><U+554F><U+984C><U+56DE><U+7B54>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4203","zho","<U+6709>,<U+53C3><U+52A0><U+904E><U+884C><U+70BA><U+5BE6><U+9A57>,<U+4EE5><U+554F><U+5377><U+4F5C><U+7B54>","yes","no",NA,"2","0",NA,2,2,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
