"id","survey_lang","_OEQ_EN_SLO Finished.xlsx","_OEQ_JS_SLO finished.xlsx","_OEQ_JL_ZHO FINISHED.xlsx","_OEQ_WC_ZHO FINISHED.xlsx","_OEQ_HN_ HUN FINISHED.xlsx","_OEQ_MK_ hun FINISHED.xlsx","_OEQ_ZS_ hun Finished.xlsx","_OEQ_AK_ENG FINISHED.xlsx","_OEQ_SPS_ENG FINISHED.xlsx","_OEQ_TE_ENG FINISHED.xlsx"
"s10626","slo","test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s10655","slo","test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s10661","slo","test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s10664","slo","test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s10674","slo","test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s10784","slo","test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11111","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11120","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11130","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11140","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11141","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11146","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11148","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11156","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11158","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11160","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11163","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11170","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11171","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11179","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11181","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11184","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11191","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11192","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11197","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11200","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11201","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11202","slo","maybe",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11204","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11205","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11210","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11211","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11213","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11216","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11219","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11222","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11223","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11236","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11237","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11260","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11266","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11268","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11291","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11295","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11298","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11308","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11312","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11314","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11319","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s11321","slo","no",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s1205","zho",NA,NA,"test","test",NA,NA,NA,NA,NA,NA
"s20446","hun",NA,NA,NA,NA,NA,"no","no",NA,NA,NA
"s2227","zho",NA,NA,"test","test",NA,NA,NA,NA,NA,NA
"s2228","zho",NA,NA,"test","test",NA,NA,NA,NA,NA,NA
"s4080","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4088","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4098","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4140","zho",NA,NA,"maybe","no",NA,NA,NA,NA,NA,NA
"s4142","zho",NA,NA,"na","no",NA,NA,NA,NA,NA,NA
"s4159","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4160","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4191","zho",NA,NA,"na","no",NA,NA,NA,NA,NA,NA
"s4194","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4203","zho",NA,NA,"yes","no",NA,NA,NA,NA,NA,NA
"s4206","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4247","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4263","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4283","zho",NA,NA,"yes","no",NA,NA,NA,NA,NA,NA
"s4323","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4325","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4393","zho",NA,NA,"maybe","no",NA,NA,NA,NA,NA,NA
"s4394","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4395","zho",NA,NA,"maybe","no",NA,NA,NA,NA,NA,NA
"s4477","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4513","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4564","zho",NA,NA,"na","no",NA,NA,NA,NA,NA,NA
"s4679","zho",NA,NA,"test","test",NA,NA,NA,NA,NA,NA
"s4798","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4808","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4811","zho",NA,NA,"na","no",NA,NA,NA,NA,NA,NA
"s4896","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s4961","zho",NA,NA,"maybe","no",NA,NA,NA,NA,NA,NA
"s5211","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s5562","zho",NA,NA,"yes","no",NA,NA,NA,NA,NA,NA
"s5643","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s5760","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s5930","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s6094","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s6157","zho",NA,NA,"test","test",NA,NA,NA,NA,NA,NA
"s6280","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s6361","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s6700","zho",NA,NA,"na","na",NA,NA,NA,NA,NA,NA
"s6732","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s6742","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s6800","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s7533","zho",NA,NA,"test","test",NA,NA,NA,NA,NA,NA
"s7742","zho",NA,NA,"no","no",NA,NA,NA,NA,NA,NA
"s8587","eng",NA,NA,NA,NA,NA,NA,NA,"no",NA,"no"
"s8704","eng",NA,NA,NA,NA,NA,NA,NA,"no",NA,"no"
