"id","survey_lang","purpose","1","2","3","score_1","score_2","score_3","count","sum","exclude","nonsense","coder"
"q_87d100_R_2Bzgj2kyo4RmOks","prt","Fazer uma distinção entre aquilo que sentimos/achamos que vemos e aquilo que realmente vemos.","no",NA,"no","0",NA,"0",2,0,FALSE,FALSE,"_OEQ_JVP_PRT FINISHED.xlsx, _OEQ_PA_PRT FINISHED.xlsx, _OEQ_WS_PRT FINISHED.xlsx"
"s1000","eng","Testing how {Category:} view beliefs and what they are","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JM_ENG FINISHED.xlsx, _OEQ_SPS_ENG FINISHED.xlsx"
"s10011","eng","I'm not sure","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_BH2_ENG FINISHED.xlsx, _OEQ_LB_ENG FINISHED.xlsx"
"s10014","eng","I think the purpose was to see how do people classify if someone knows something or if they just strongly agree with it","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_BH2_ENG FINISHED.xlsx, _OEQ_LB_ENG FINISHED.xlsx"
"s10020","eng","Possibly it could be for research on confirmation bias.","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_BH2_ENG FINISHED.xlsx, _OEQ_LB_ENG FINISHED.xlsx"
"s10025","eng","To see if people's perspectives are changed by the situation at hand. The difference between the right and wrong answer in different situations.","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_BH2_ENG FINISHED.xlsx, _OEQ_LB_ENG FINISHED.xlsx"
"s10030","eng","effect of word phrasing","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_BH2_ENG FINISHED.xlsx, _OEQ_LB_ENG FINISHED.xlsx"
"s10035","eng","I think the purpose of this study is to understand perspectives of people.","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_BH2_ENG FINISHED.xlsx, _OEQ_LB_ENG FINISHED.xlsx"
"s10046","eng","I don't know","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_BH2_ENG FINISHED.xlsx, _OEQ_LB_ENG FINISHED.xlsx"
"s10058","eng","TEST","test","test",NA,"2","2",NA,2,4,TRUE,FALSE,"_OEQ_BH2_ENG FINISHED.xlsx, _OEQ_LB_ENG FINISHED.xlsx"
"s10059","eng","I wasn't able to figure it out, but I'm assuming it is researching peoples ability to read through things entirely and to process information, as well as to study how different people view the effects of these situations.","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_BH2_ENG FINISHED.xlsx, _OEQ_LB_ENG FINISHED.xlsx"
"s10065","eng","To analyze people's perceptions of different scenarios","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_BH2_ENG FINISHED.xlsx, _OEQ_LB_ENG FINISHED.xlsx"
