"id","survey_lang","_OEQ_JS_SLO FINISHED FR.xlsx","_OEQ_PK_SLO Finished.xlsx","_OEQ_SD_SLO Finished.xlsx","_OEQ_EN_SLO Finished.xlsx","_OEQ_JL_ZHO FINISHED.xlsx","_OEQ_WC_ZHO FINISHED.xlsx"
"s11170","slo",NA,"no","no",NA,NA,NA
"s11355","slo",NA,NA,"maybe","maybe",NA,NA
"s1205","zho",NA,NA,NA,NA,"test","test"
"s2227","zho",NA,NA,NA,NA,"test","test"
"s2228","zho",NA,NA,NA,NA,"test","test"
"s3377","zho",NA,NA,NA,NA,"test","test"
"s3559","zho",NA,NA,NA,NA,"test","test"
"s4052","zho",NA,NA,NA,NA,"no","no"
"s4057","zho",NA,NA,NA,NA,"maybe","no"
"s4058","zho",NA,NA,NA,NA,"no","no"
"s4080","zho",NA,NA,NA,NA,"maybe","no"
"s4081","zho",NA,NA,NA,NA,"maybe","no"
"s4087","zho",NA,NA,NA,NA,"no","no"
"s4088","zho",NA,NA,NA,NA,"no","no"
"s4122","zho",NA,NA,NA,NA,"maybe","no"
"s4140","zho",NA,NA,NA,NA,"no","no"
"s4142","zho",NA,NA,NA,NA,"no","no"
"s4145","zho",NA,NA,NA,NA,"no","no"
"s4159","zho",NA,NA,NA,NA,"no","no"
"s4160","zho",NA,NA,NA,NA,"no","no"
"s4161","zho",NA,NA,NA,NA,"no","no"
"s4188","zho",NA,NA,NA,NA,"no","no"
"s4191","zho",NA,NA,NA,NA,"maybe","no"
"s4194","zho",NA,NA,NA,NA,"no","no"
"s4203","zho",NA,NA,NA,NA,"no","no"
"s4206","zho",NA,NA,NA,NA,"no","no"
"s4292","zho",NA,NA,NA,NA,"no","no"
"s4309","zho",NA,NA,NA,NA,"no","no"
"s4323","zho",NA,NA,NA,NA,"no","no"
"s4325","zho",NA,NA,NA,NA,"no","no"
"s4372","zho",NA,NA,NA,NA,"no","no"
"s4394","zho",NA,NA,NA,NA,"no","no"
"s4395","zho",NA,NA,NA,NA,"no","no"
"s4414","zho",NA,NA,NA,NA,"no","no"
"s4435","zho",NA,NA,NA,NA,"maybe","no"
"s4468","zho",NA,NA,NA,NA,"maybe","no"
"s4473","zho",NA,NA,NA,NA,"no","no"
"s4477","zho",NA,NA,NA,NA,"no","no"
"s4513","zho",NA,NA,NA,NA,"no","no"
"s4562","zho",NA,NA,NA,NA,"no","no"
"s4564","zho",NA,NA,NA,NA,"no","no"
"s4595","zho",NA,NA,NA,NA,"no","no"
"s4614","zho",NA,NA,NA,NA,"yes","no"
"s4630","zho",NA,NA,NA,NA,"no","no"
"s4654","zho",NA,NA,NA,NA,"no","no"
"s4655","zho",NA,NA,NA,NA,"no","no"
"s4656","zho",NA,NA,NA,NA,"no","no"
"s4679","zho",NA,NA,NA,NA,"test","test"
"s4715","zho",NA,NA,NA,NA,"maybe","no"
"s4716","zho",NA,NA,NA,NA,"no","no"
"s4798","zho",NA,NA,NA,NA,"maybe","no"
"s4808","zho",NA,NA,NA,NA,"no","no"
"s4811","zho",NA,NA,NA,NA,"no","no"
"s4872","zho",NA,NA,NA,NA,"no","no"
"s4879","zho",NA,NA,NA,NA,"maybe","no"
