"","id","lang","previous"
"1","s589","eng","I have not. "
"2","s599","eng","I have not ever participated in a research study."
"3","s604","eng","yes, actually the study had the same questions but in different order "
"4","s607","eng","I have never participated in a research study before. "
"5","s612","eng","No, I have not participated in a similar study. "
"6","s664","eng","I have never completed anything similar in this study."
"7","s666","eng","I have never participated in a study. "
"8","s686","eng","No, this was my first study."
"9","s688","eng","no, i have not participated in a study like this before."
"10","s700","eng","I've participated in a couple other online survey-type studies, but none exactly like this."
"11","s716","eng","This is my first one."
"12","s718","eng","No, I have not participated in a study like this."
"13","s725","eng","No, this was my first research study. "
"14","s740","eng","I have never participated in a study like this."
"15","s742","eng","its my seont time taking this study becouse the first time is wasent working"
"16","s746","eng","i have not"
"17","s760","eng","No, I haven't participated in a study similar to this one."
"18","s761","eng","No, I've never participated in a study like this."
"19","s762","eng","No, this is the first study I have ever participated in. "
"20","s763","eng","I have taken some studies online before."
"21","s772","eng","No, I've never participated in a study before."
"22","s776","eng","Yes, I've taken this study before."
"23","s795","eng","Yes I have."
"24","s819","eng","yes answering questions about day to day things"
"25","s840","eng","No this is my first time doing this kind of study."
"26","s844","eng","No, I have never participated in a study"
"27","s856","eng","No this is the first research study I have participated in. "
"28","s862","eng","This was my first time participating. "
"29","s863","eng","No, I have not participated in a similar study."
"30","s867","eng","Not really nothing like this one "
"31","s928","ger","nein, noch an keiner ähnlichen studie teilgenommen
"
"32","s940","eng","
No, this is the first time I have participated in a study like this."
"33","s968","ger","nein!"
"34","s973","ger","nein noch nicht"
"35","s976","ger","glaube nicht"
"36","s996","ger","Nein, die Studien, an denen ich teilgenommen habe, anders."
"37","s1000","eng","Nope."
"38","s1013","ger","Ja mit Hörverständnis"
"39","s1016","eng","NA"
"40","s1018","eng","No i have not"
"41","s1026","eng","no, i have never participated in a study before. "
"42","s1038","ger","ja, kann mich jedoch nur noch wenig daran erinnern"
"43","s1042","ger","Ja, lediglich fragen mit multiple Choice antworten"
"44","s1045","eng","i have not"
"45","s1050","eng","no I have not"
"46","s1059","eng","Not exactly but I've done other online studies."
"47","s1062","eng","Not exactly but I've done other online studies."
"48","s1063","eng","Yes, I've done other studies were you read something and answer questions about it."
"49","s1092","eng","I have never done a study like this before."
"50","s1100","eng","This is my first research study."
"51","s1113","eng","THIS IS A TEST"
"52","s1117","pol","nie wie"
"53","s1122","eng","Just recently for this class.  "
"54","s1135","eng","I have for a class I am taking this term."
"55","s1136","eng","No not one like this "
"56","s1148","pol","k"
"57","s1155","ger","Bundesheer/Stellung, kein Kommentar nötig dazu. "
"58","s1162","pol","j"
"59","s1272","ger","x"
"60","s1313","ger","Ja andauernd, da ich mich selbst momentan auf der Universität beschäftige. "
"61","s1340","pol","jo"
"62","s1344","pol","nkjn"
"63","s1352","pol","s"
"64","s1357","pol","nk"
"65","s1400","eng","Yes. I have participated in similar studies during my undergrad. I attended a university with many research projects happening at once."
"66","s1424","pol","sdfg"
"67","s1450","eng","no the would be my first one like this "
"68","s1451","eng","no never "
"69","s1465","eng","I have taken the MSLQ study before but that is it. "
"70","s1482","eng","I have not participated in a similar study. Usually, the studies consist of only questions about myself and never offer any other material, like the three individual studies."
"71","s1484","eng","I have never participated in a familiar study. "
"72","s1489","eng","Not one where it felt like a test and a lot of reading and questions about the scenarios."
"73","s1492","eng","no, I have not"
"74","s1519","eng","No I have not participated in a study similar to this. "
"75","s1535","eng","No I haven't."
"76","s1548","eng","No. This is my first time."
"77","s1695","eng","Nope."
"78","s1722","pol","d"
"79","s1735","ger","Ich habe an Studien teilgenommen, bei denen ich mich in Szenarien hineinversetzten musste oder Texte lesen und anschließend Fragen dazu beantworten musste."
"80","s1775","ger","Ich habe bisher an keiner ähnlichen Studie teilgenommen. "
"81","s1788","eng","sdd"
"82","s1799","eng"," No I have not"
"83","s1927","eng"," no"
"84","s1931","eng","Nothing like this. "
"85","s1933","eng","Negatory."
"86","s1942","eng","not that I can remember"
"87","s1959","eng","No
"
"88","s1991","eng","Yes, I have seen the red squirrel question before."
"89","s2092","nor","Nei. "
"90","s2099","eng","Yes, it was very similar to this one, the scenarios were different though."
