"","know_vas_combined","vignette","id","person_code","comp","age","gender2","education","cond","vignette_order","cond_order"
"34","Knows","Darrel","q_87d100_R_1Fkz4wEUo36P9cu","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",12,"Gettier","DEG","GKI"
"35","Knows","Gerald","q_87d100_R_1Fkz4wEUo36P9cu","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",12,"Ignorance","DEG","GKI"
"36","Believes","Emma","q_87d100_R_1Fkz4wEUo36P9cu","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",12,"Knowledge","DEG","GKI"
"43","Knows","Darrel","q_87d100_R_1hQmLMgOTHjhJWR","47cce7454402254dd1e56c7338d2ca3b","Yes",18,"female",12,"Knowledge","DGE","KIG"
"44","Believes","Gerald","q_87d100_R_1hQmLMgOTHjhJWR","47cce7454402254dd1e56c7338d2ca3b","Yes",18,"female",12,"Ignorance","DGE","KIG"
"45","Believes","Emma","q_87d100_R_1hQmLMgOTHjhJWR","47cce7454402254dd1e56c7338d2ca3b","Yes",18,"female",12,"Gettier","DGE","KIG"
"124","Knows","Darrel","q_87d100_R_29v44PykkgbOWwk","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Knowledge","EDG","IKG"
"125","Knows","Gerald","q_87d100_R_29v44PykkgbOWwk","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Gettier","EDG","IKG"
"126","Knows","Emma","q_87d100_R_29v44PykkgbOWwk","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Ignorance","EDG","IKG"
"148","Knows","Gerald","q_87d100_R_2cwj2IC6auynCPS","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Ignorance","EDG","KGI"
"149","Believes","Emma","q_87d100_R_2cwj2IC6auynCPS","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Knowledge","EDG","KGI"
"150","Knows","Darrel","q_87d100_R_2cwj2IC6auynCPS","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Gettier","EDG","KGI"
"154","Believes","Emma","q_87d100_R_2DS37SrF4RN4kLN","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Ignorance","GED","KIG"
"155","Knows","Gerald","q_87d100_R_2DS37SrF4RN4kLN","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Knowledge","GED","KIG"
"156","Believes","Darrel","q_87d100_R_2DS37SrF4RN4kLN","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Gettier","GED","KIG"
"199","Believes","Darrel","q_87d100_R_2TnpNtGgSbL1d17","47cce7454402254dd1e56c7338d2ca3b","No",23,"female",12,"Gettier","DGE","GIK"
"200","Believes","Gerald","q_87d100_R_2TnpNtGgSbL1d17","47cce7454402254dd1e56c7338d2ca3b","No",23,"female",12,"Ignorance","DGE","GIK"
"201","Believes","Emma","q_87d100_R_2TnpNtGgSbL1d17","47cce7454402254dd1e56c7338d2ca3b","No",23,"female",12,"Knowledge","DGE","GIK"
"208","Knows","Darrel","q_87d100_R_2Vs6vobz9Dsnw3C","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",14,"Knowledge","DGE","KGI"
"209","Believes","Gerald","q_87d100_R_2Vs6vobz9Dsnw3C","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",14,"Gettier","DGE","KGI"
"210","Believes","Emma","q_87d100_R_2Vs6vobz9Dsnw3C","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",14,"Ignorance","DGE","KGI"
"304","Believes","Emma","q_87d100_R_3koIxg6RmYVB7c1","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Knowledge","DGE","GIK"
"305","Believes","Gerald","q_87d100_R_3koIxg6RmYVB7c1","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Ignorance","DGE","GIK"
"306","Believes","Darrel","q_87d100_R_3koIxg6RmYVB7c1","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Gettier","DGE","GIK"
"325","Believes","Emma","q_87d100_R_3mmH474L1C8XoG3","47cce7454402254dd1e56c7338d2ca3b","Yes",29,"female",12,"Ignorance","EGD","IKG"
