"","luck_vas_combined","vignette","id","person_code","comp","age","gender2","education","cond","luck_vas_combined_source"
"34","Luck","Darrel","q_87d100_R_1Fkz4wEUo36P9cu","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",12,"Gettier","VAS"
"35","Ability","Gerald","q_87d100_R_1Fkz4wEUo36P9cu","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",12,"Ignorance","VAS"
"36","Luck","Emma","q_87d100_R_1Fkz4wEUo36P9cu","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",12,"Knowledge","VAS"
"43","Luck","Darrel","q_87d100_R_1hQmLMgOTHjhJWR","47cce7454402254dd1e56c7338d2ca3b","Yes",18,"female",12,"Knowledge","VAS"
"44","Luck","Gerald","q_87d100_R_1hQmLMgOTHjhJWR","47cce7454402254dd1e56c7338d2ca3b","Yes",18,"female",12,"Ignorance","VAS"
"45","Luck","Emma","q_87d100_R_1hQmLMgOTHjhJWR","47cce7454402254dd1e56c7338d2ca3b","Yes",18,"female",12,"Gettier","VAS"
"124","Ability","Darrel","q_87d100_R_29v44PykkgbOWwk","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Knowledge","VAS"
"125","Luck","Gerald","q_87d100_R_29v44PykkgbOWwk","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Gettier","VAS"
"126","Luck","Emma","q_87d100_R_29v44PykkgbOWwk","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Ignorance","VAS"
"148","Luck","Gerald","q_87d100_R_2cwj2IC6auynCPS","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Ignorance","VAS"
"149","Luck","Emma","q_87d100_R_2cwj2IC6auynCPS","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Knowledge","VAS"
"150","Ability","Darrel","q_87d100_R_2cwj2IC6auynCPS","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Gettier","VAS"
"154","Ability","Emma","q_87d100_R_2DS37SrF4RN4kLN","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Ignorance","VAS"
"155","Ability","Gerald","q_87d100_R_2DS37SrF4RN4kLN","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Knowledge","VAS"
"156","Luck","Darrel","q_87d100_R_2DS37SrF4RN4kLN","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Gettier","VAS"
"199","Ability","Darrel","q_87d100_R_2TnpNtGgSbL1d17","47cce7454402254dd1e56c7338d2ca3b","No",23,"female",12,"Gettier","VAS"
"200","Ability","Gerald","q_87d100_R_2TnpNtGgSbL1d17","47cce7454402254dd1e56c7338d2ca3b","No",23,"female",12,"Ignorance","VAS"
"201","Luck","Emma","q_87d100_R_2TnpNtGgSbL1d17","47cce7454402254dd1e56c7338d2ca3b","No",23,"female",12,"Knowledge","VAS"
"208","Ability","Darrel","q_87d100_R_2Vs6vobz9Dsnw3C","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",14,"Knowledge","VAS"
"209","Luck","Gerald","q_87d100_R_2Vs6vobz9Dsnw3C","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",14,"Gettier","VAS"
"210","Luck","Emma","q_87d100_R_2Vs6vobz9Dsnw3C","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",14,"Ignorance","VAS"
"304","Ability","Emma","q_87d100_R_3koIxg6RmYVB7c1","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Knowledge","VAS"
"305","Ability","Gerald","q_87d100_R_3koIxg6RmYVB7c1","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Ignorance","VAS"
"306","Ability","Darrel","q_87d100_R_3koIxg6RmYVB7c1","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Gettier","VAS"
"326","Ability","Gerald","q_87d100_R_3mmH474L1C8XoG3","47cce7454402254dd1e56c7338d2ca3b","Yes",29,"female",12,"Knowledge","VAS"
"327","Ability","Darrel","q_87d100_R_3mmH474L1C8XoG3","47cce7454402254dd1e56c7338d2ca3b","Yes",29,"female",12,"Gettier","VAS"
"334","Luck","Gerald","q_87d100_R_3oC2JV5pnbMgLJA","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Knowledge","VAS"
"335","Ability","Darrel","q_87d100_R_3oC2JV5pnbMgLJA","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Ignorance","VAS"
"336","Luck","Emma","q_87d100_R_3oC2JV5pnbMgLJA","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Gettier","VAS"
"412","Ability","Darrel","q_87d100_R_sNfTopzAr9tyTOp","47cce7454402254dd1e56c7338d2ca3b","Yes",22,"female",12,"Ignorance","VAS"
"413","Luck","Emma","q_87d100_R_sNfTopzAr9tyTOp","47cce7454402254dd1e56c7338d2ca3b","Yes",22,"female",12,"Knowledge","VAS"
"414","Luck","Gerald","q_87d100_R_sNfTopzAr9tyTOp","47cce7454402254dd1e56c7338d2ca3b","Yes",22,"female",12,"Gettier","VAS"
"449","Luck","Darrel","q_turk_R_0328HYH57wKMSJj","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",15,"Gettier","VAS"
"450","Luck","Emma","q_turk_R_0328HYH57wKMSJj","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",15,"Knowledge","VAS"
"463","Luck","Emma","q_turk_R_0pj9X2ajFesKSKB","adaccbbc254a881db6c19b3224887bcc","Yes",30,"female",15,"Ignorance","VAS"
"464","Luck","Darrel","q_turk_R_0pj9X2ajFesKSKB","adaccbbc254a881db6c19b3224887bcc","Yes",30,"female",15,"Gettier","VAS"
"466","Luck","Emma","q_turk_R_10Db8Itv7DSFTG1","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Knowledge","VAS"
"467","Luck","Darrel","q_turk_R_10Db8Itv7DSFTG1","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Gettier","VAS"
"469","Luck","Emma","q_turk_R_10GVY80fen5wtun","adaccbbc254a881db6c19b3224887bcc","Yes",25,"female",15,"Knowledge","VAS"
"471","Luck","Gerald","q_turk_R_10GVY80fen5wtun","adaccbbc254a881db6c19b3224887bcc","Yes",25,"female",15,"Ignorance","VAS"
"472","Luck","Gerald","q_turk_R_10obyJCkcHa0EPm","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Gettier","VAS"
"473","Ability","Darrel","q_turk_R_10obyJCkcHa0EPm","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Knowledge","VAS"
"474","Ability","Emma","q_turk_R_10obyJCkcHa0EPm","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Ignorance","VAS"
"478","Ability","Emma","q_turk_R_11ZRvjXHeBjRvQy","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Ignorance","VAS"
"479","Luck","Gerald","q_turk_R_11ZRvjXHeBjRvQy","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Gettier","VAS"
"480","Luck","Darrel","q_turk_R_11ZRvjXHeBjRvQy","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Knowledge","VAS"
"484","Luck","Darrel","q_turk_R_12G8F9zUQxyiI32","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Gettier","VAS"
"487","Ability","Darrel","q_turk_R_12GblEGnvQEf7XG","adaccbbc254a881db6c19b3224887bcc","Yes",54,"female",14,"Knowledge","VAS"
"488","Luck","Emma","q_turk_R_12GblEGnvQEf7XG","adaccbbc254a881db6c19b3224887bcc","Yes",54,"female",14,"Ignorance","VAS"
"489","Ability","Gerald","q_turk_R_12GblEGnvQEf7XG","adaccbbc254a881db6c19b3224887bcc","Yes",54,"female",14,"Gettier","VAS"
"490","Ability","Emma","q_turk_R_1C2UOLc3g2zAAR5","adaccbbc254a881db6c19b3224887bcc","Yes",37,"male",15,"Ignorance","VAS"
"491","Ability","Darrel","q_turk_R_1C2UOLc3g2zAAR5","adaccbbc254a881db6c19b3224887bcc","Yes",37,"male",15,"Gettier","VAS"
"492","Ability","Gerald","q_turk_R_1C2UOLc3g2zAAR5","adaccbbc254a881db6c19b3224887bcc","Yes",37,"male",15,"Knowledge","VAS"
"494","Luck","Emma","q_turk_R_1CCLgbEW8FQgZr0","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",17,"Ignorance","VAS"
"502","Luck","Emma","q_turk_R_1ClTERpRi5gzz1c","adaccbbc254a881db6c19b3224887bcc","Yes",41,"female",14,"Gettier","VAS"
"503","Ability","Gerald","q_turk_R_1ClTERpRi5gzz1c","adaccbbc254a881db6c19b3224887bcc","Yes",41,"female",14,"Ignorance","VAS"
"504","Ability","Darrel","q_turk_R_1ClTERpRi5gzz1c","adaccbbc254a881db6c19b3224887bcc","Yes",41,"female",14,"Knowledge","VAS"
"511","Ability","Darrel","q_turk_R_1DASPXf9anuudK9","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",18,"Gettier","VAS"
"512","Luck","Emma","q_turk_R_1DASPXf9anuudK9","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",18,"Knowledge","VAS"
"513","Luck","Gerald","q_turk_R_1DASPXf9anuudK9","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",18,"Ignorance","VAS"
"514","Ability","Darrel","q_turk_R_1dFhSa6aWEXPUxA","adaccbbc254a881db6c19b3224887bcc","Yes",61,"male",15,"Ignorance","VAS"
"515","Luck","Emma","q_turk_R_1dFhSa6aWEXPUxA","adaccbbc254a881db6c19b3224887bcc","Yes",61,"male",15,"Knowledge","VAS"
"516","Luck","Gerald","q_turk_R_1dFhSa6aWEXPUxA","adaccbbc254a881db6c19b3224887bcc","Yes",61,"male",15,"Gettier","VAS"
"520","Luck","Emma","q_turk_R_1DosZRbS5q7ck9c","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Knowledge","VAS"
"521","Luck","Gerald","q_turk_R_1DosZRbS5q7ck9c","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Gettier","VAS"
"522","Luck","Darrel","q_turk_R_1DosZRbS5q7ck9c","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Ignorance","VAS"
"523","Luck","Gerald","q_turk_R_1DSUYgA2crznnRm","adaccbbc254a881db6c19b3224887bcc","Yes",56,"female",12,"Ignorance","VAS"
"524","Ability","Darrel","q_turk_R_1DSUYgA2crznnRm","adaccbbc254a881db6c19b3224887bcc","Yes",56,"female",12,"Knowledge","VAS"
"525","Luck","Emma","q_turk_R_1DSUYgA2crznnRm","adaccbbc254a881db6c19b3224887bcc","Yes",56,"female",12,"Gettier","VAS"
"526","Ability","Darrel","q_turk_R_1DurNdyS40bjn1X","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",14,"Knowledge","VAS"
"527","Ability","Emma","q_turk_R_1DurNdyS40bjn1X","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",14,"Ignorance","VAS"
"528","Ability","Gerald","q_turk_R_1DurNdyS40bjn1X","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",14,"Gettier","VAS"
"529","Luck","Gerald","q_turk_R_1dzzLIR0j0Vh7e0","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",10,"Knowledge","VAS"
"530","Luck","Darrel","q_turk_R_1dzzLIR0j0Vh7e0","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",10,"Ignorance","VAS"
"531","Luck","Emma","q_turk_R_1dzzLIR0j0Vh7e0","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",10,"Gettier","VAS"
"538","Ability","Gerald","q_turk_R_1eP0G7l94JqxCxW","adaccbbc254a881db6c19b3224887bcc","Yes",47,"male",12,"Gettier","VAS"
"539","Luck","Darrel","q_turk_R_1eP0G7l94JqxCxW","adaccbbc254a881db6c19b3224887bcc","Yes",47,"male",12,"Ignorance","VAS"
"540","Ability","Emma","q_turk_R_1eP0G7l94JqxCxW","adaccbbc254a881db6c19b3224887bcc","Yes",47,"male",12,"Knowledge","VAS"
"541","Ability","Darrel","q_turk_R_1eraYLCSOvI9a0N","adaccbbc254a881db6c19b3224887bcc","Yes",66,"female",14,"Gettier","VAS"
"542","Ability","Gerald","q_turk_R_1eraYLCSOvI9a0N","adaccbbc254a881db6c19b3224887bcc","Yes",66,"female",14,"Ignorance","VAS"
"543","Luck","Emma","q_turk_R_1eraYLCSOvI9a0N","adaccbbc254a881db6c19b3224887bcc","Yes",66,"female",14,"Knowledge","VAS"
"544","Luck","Gerald","q_turk_R_1eXG6UuI5D86k25","adaccbbc254a881db6c19b3224887bcc","Yes",27,"female",15,"Knowledge","VAS"
"545","Luck","Emma","q_turk_R_1eXG6UuI5D86k25","adaccbbc254a881db6c19b3224887bcc","Yes",27,"female",15,"Gettier","VAS"
"546","Luck","Darrel","q_turk_R_1eXG6UuI5D86k25","adaccbbc254a881db6c19b3224887bcc","Yes",27,"female",15,"Ignorance","VAS"
"547","Ability","Darrel","q_turk_R_1EZjs5tS3VwDsLC","adaccbbc254a881db6c19b3224887bcc","Yes",33,"female",15,"Gettier","VAS"
"548","Ability","Gerald","q_turk_R_1EZjs5tS3VwDsLC","adaccbbc254a881db6c19b3224887bcc","Yes",33,"female",15,"Ignorance","VAS"
"549","Luck","Emma","q_turk_R_1EZjs5tS3VwDsLC","adaccbbc254a881db6c19b3224887bcc","Yes",33,"female",15,"Knowledge","VAS"
"550","Luck","Emma","q_turk_R_1F95GDS9xOz3od8","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",15,"Ignorance","VAS"
"551","Ability","Darrel","q_turk_R_1F95GDS9xOz3od8","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",15,"Knowledge","VAS"
"552","Luck","Gerald","q_turk_R_1F95GDS9xOz3od8","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",15,"Gettier","VAS"
"557","Ability","Gerald","q_turk_R_1FfzSXTCo6bM1X5","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",15,"Gettier","VAS"
"559","Ability","Darrel","q_turk_R_1fiJpUymCcyNQ5d","adaccbbc254a881db6c19b3224887bcc","Yes",48,"female",18,"Gettier","VAS"
"560","Ability","Gerald","q_turk_R_1fiJpUymCcyNQ5d","adaccbbc254a881db6c19b3224887bcc","Yes",48,"female",18,"Knowledge","VAS"
"561","Ability","Emma","q_turk_R_1fiJpUymCcyNQ5d","adaccbbc254a881db6c19b3224887bcc","Yes",48,"female",18,"Ignorance","VAS"
"567","Ability","Darrel","q_turk_R_1g771yEu6Vct9gk","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",12,"Gettier","VAS"
"571","Luck","Darrel","q_turk_R_1geHuTxOfperhHY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",14,"Gettier","VAS"
"572","Luck","Emma","q_turk_R_1geHuTxOfperhHY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",14,"Knowledge","VAS"
"577","Luck","Gerald","q_turk_R_1ghXkXxoHZyoXms","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",15,"Ignorance","VAS"
"578","Ability","Darrel","q_turk_R_1ghXkXxoHZyoXms","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",15,"Knowledge","VAS"
"579","Luck","Emma","q_turk_R_1ghXkXxoHZyoXms","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",15,"Gettier","VAS"
"580","Luck","Emma","q_turk_R_1gI5nNz0IBlgcsU","adaccbbc254a881db6c19b3224887bcc","Yes",51,"male",15,"Ignorance","VAS"
"581","Ability","Darrel","q_turk_R_1gI5nNz0IBlgcsU","adaccbbc254a881db6c19b3224887bcc","Yes",51,"male",15,"Knowledge","VAS"
"582","Luck","Gerald","q_turk_R_1gI5nNz0IBlgcsU","adaccbbc254a881db6c19b3224887bcc","Yes",51,"male",15,"Gettier","VAS"
"584","Ability","Darrel","q_turk_R_1gis1JlrcLlbmoJ","adaccbbc254a881db6c19b3224887bcc","Yes",26,"male",15,"Knowledge","VAS"
"585","Luck","Emma","q_turk_R_1gis1JlrcLlbmoJ","adaccbbc254a881db6c19b3224887bcc","Yes",26,"male",15,"Gettier","VAS"
"586","Ability","Darrel","q_turk_R_1GNVXYm1aFUSLEY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Knowledge","VAS"
"587","Luck","Emma","q_turk_R_1GNVXYm1aFUSLEY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Ignorance","VAS"
