"","reason_vas_combined","vignette","id","person_code","comp","age","gender2","education","cond"
"34","Reasonable","Darrel","q_87d100_R_1Fkz4wEUo36P9cu","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",12,"Gettier"
"35","Reasonable","Gerald","q_87d100_R_1Fkz4wEUo36P9cu","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",12,"Ignorance"
"36","Reasonable","Emma","q_87d100_R_1Fkz4wEUo36P9cu","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",12,"Knowledge"
"43","Reasonable","Darrel","q_87d100_R_1hQmLMgOTHjhJWR","47cce7454402254dd1e56c7338d2ca3b","Yes",18,"female",12,"Knowledge"
"44","Reasonable","Gerald","q_87d100_R_1hQmLMgOTHjhJWR","47cce7454402254dd1e56c7338d2ca3b","Yes",18,"female",12,"Ignorance"
"45","Unreasonable","Emma","q_87d100_R_1hQmLMgOTHjhJWR","47cce7454402254dd1e56c7338d2ca3b","Yes",18,"female",12,"Gettier"
"124","Reasonable","Darrel","q_87d100_R_29v44PykkgbOWwk","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Knowledge"
"125","Reasonable","Gerald","q_87d100_R_29v44PykkgbOWwk","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Gettier"
"126","Reasonable","Emma","q_87d100_R_29v44PykkgbOWwk","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Ignorance"
"148","Reasonable","Gerald","q_87d100_R_2cwj2IC6auynCPS","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Ignorance"
"149","Reasonable","Emma","q_87d100_R_2cwj2IC6auynCPS","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Knowledge"
"150","Reasonable","Darrel","q_87d100_R_2cwj2IC6auynCPS","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Gettier"
"154","Reasonable","Emma","q_87d100_R_2DS37SrF4RN4kLN","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Ignorance"
"155","Reasonable","Gerald","q_87d100_R_2DS37SrF4RN4kLN","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Knowledge"
"156","Reasonable","Darrel","q_87d100_R_2DS37SrF4RN4kLN","47cce7454402254dd1e56c7338d2ca3b","Yes",21,"female",14,"Gettier"
"199","Reasonable","Darrel","q_87d100_R_2TnpNtGgSbL1d17","47cce7454402254dd1e56c7338d2ca3b","No",23,"female",12,"Gettier"
"200","Reasonable","Gerald","q_87d100_R_2TnpNtGgSbL1d17","47cce7454402254dd1e56c7338d2ca3b","No",23,"female",12,"Ignorance"
"201","Reasonable","Emma","q_87d100_R_2TnpNtGgSbL1d17","47cce7454402254dd1e56c7338d2ca3b","No",23,"female",12,"Knowledge"
"208","Reasonable","Darrel","q_87d100_R_2Vs6vobz9Dsnw3C","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",14,"Knowledge"
"209","Reasonable","Gerald","q_87d100_R_2Vs6vobz9Dsnw3C","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",14,"Gettier"
"210","Reasonable","Emma","q_87d100_R_2Vs6vobz9Dsnw3C","47cce7454402254dd1e56c7338d2ca3b","Yes",19,"female",14,"Ignorance"
"304","Reasonable","Emma","q_87d100_R_3koIxg6RmYVB7c1","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Knowledge"
"305","Reasonable","Gerald","q_87d100_R_3koIxg6RmYVB7c1","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Ignorance"
"306","Reasonable","Darrel","q_87d100_R_3koIxg6RmYVB7c1","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Gettier"
"325","Reasonable","Emma","q_87d100_R_3mmH474L1C8XoG3","47cce7454402254dd1e56c7338d2ca3b","Yes",29,"female",12,"Ignorance"
"326","Reasonable","Gerald","q_87d100_R_3mmH474L1C8XoG3","47cce7454402254dd1e56c7338d2ca3b","Yes",29,"female",12,"Knowledge"
"327","Reasonable","Darrel","q_87d100_R_3mmH474L1C8XoG3","47cce7454402254dd1e56c7338d2ca3b","Yes",29,"female",12,"Gettier"
"334","Reasonable","Gerald","q_87d100_R_3oC2JV5pnbMgLJA","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Knowledge"
"335","Reasonable","Darrel","q_87d100_R_3oC2JV5pnbMgLJA","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Ignorance"
"336","Reasonable","Emma","q_87d100_R_3oC2JV5pnbMgLJA","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Gettier"
"412","Reasonable","Darrel","q_87d100_R_sNfTopzAr9tyTOp","47cce7454402254dd1e56c7338d2ca3b","Yes",22,"female",12,"Ignorance"
"413","Reasonable","Emma","q_87d100_R_sNfTopzAr9tyTOp","47cce7454402254dd1e56c7338d2ca3b","Yes",22,"female",12,"Knowledge"
"414","Reasonable","Gerald","q_87d100_R_sNfTopzAr9tyTOp","47cce7454402254dd1e56c7338d2ca3b","Yes",22,"female",12,"Gettier"
"448","Reasonable","Gerald","q_turk_R_0328HYH57wKMSJj","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",15,"Ignorance"
"449","Reasonable","Darrel","q_turk_R_0328HYH57wKMSJj","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",15,"Gettier"
"450","Reasonable","Emma","q_turk_R_0328HYH57wKMSJj","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",15,"Knowledge"
"463","Reasonable","Emma","q_turk_R_0pj9X2ajFesKSKB","adaccbbc254a881db6c19b3224887bcc","Yes",30,"female",15,"Ignorance"
"464","Reasonable","Darrel","q_turk_R_0pj9X2ajFesKSKB","adaccbbc254a881db6c19b3224887bcc","Yes",30,"female",15,"Gettier"
"466","Reasonable","Emma","q_turk_R_10Db8Itv7DSFTG1","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Knowledge"
"467","Reasonable","Darrel","q_turk_R_10Db8Itv7DSFTG1","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Gettier"
"468","Reasonable","Gerald","q_turk_R_10Db8Itv7DSFTG1","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Ignorance"
"469","Reasonable","Emma","q_turk_R_10GVY80fen5wtun","adaccbbc254a881db6c19b3224887bcc","Yes",25,"female",15,"Knowledge"
"470","Reasonable","Darrel","q_turk_R_10GVY80fen5wtun","adaccbbc254a881db6c19b3224887bcc","Yes",25,"female",15,"Gettier"
"471","Reasonable","Gerald","q_turk_R_10GVY80fen5wtun","adaccbbc254a881db6c19b3224887bcc","Yes",25,"female",15,"Ignorance"
"472","Reasonable","Gerald","q_turk_R_10obyJCkcHa0EPm","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Gettier"
"473","Reasonable","Darrel","q_turk_R_10obyJCkcHa0EPm","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Knowledge"
"474","Reasonable","Emma","q_turk_R_10obyJCkcHa0EPm","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Ignorance"
"478","Reasonable","Emma","q_turk_R_11ZRvjXHeBjRvQy","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Ignorance"
"479","Reasonable","Gerald","q_turk_R_11ZRvjXHeBjRvQy","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Gettier"
"480","Reasonable","Darrel","q_turk_R_11ZRvjXHeBjRvQy","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Knowledge"
"484","Reasonable","Darrel","q_turk_R_12G8F9zUQxyiI32","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Gettier"
"485","Reasonable","Gerald","q_turk_R_12G8F9zUQxyiI32","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Knowledge"
"486","Reasonable","Emma","q_turk_R_12G8F9zUQxyiI32","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Ignorance"
"487","Reasonable","Darrel","q_turk_R_12GblEGnvQEf7XG","adaccbbc254a881db6c19b3224887bcc","Yes",54,"female",14,"Knowledge"
"488","Reasonable","Emma","q_turk_R_12GblEGnvQEf7XG","adaccbbc254a881db6c19b3224887bcc","Yes",54,"female",14,"Ignorance"
"489","Reasonable","Gerald","q_turk_R_12GblEGnvQEf7XG","adaccbbc254a881db6c19b3224887bcc","Yes",54,"female",14,"Gettier"
"490","Reasonable","Emma","q_turk_R_1C2UOLc3g2zAAR5","adaccbbc254a881db6c19b3224887bcc","Yes",37,"male",15,"Ignorance"
"491","Reasonable","Darrel","q_turk_R_1C2UOLc3g2zAAR5","adaccbbc254a881db6c19b3224887bcc","Yes",37,"male",15,"Gettier"
"492","Reasonable","Gerald","q_turk_R_1C2UOLc3g2zAAR5","adaccbbc254a881db6c19b3224887bcc","Yes",37,"male",15,"Knowledge"
"493","Reasonable","Darrel","q_turk_R_1CCLgbEW8FQgZr0","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",17,"Gettier"
"494","Reasonable","Emma","q_turk_R_1CCLgbEW8FQgZr0","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",17,"Ignorance"
"495","Reasonable","Gerald","q_turk_R_1CCLgbEW8FQgZr0","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",17,"Knowledge"
"502","Reasonable","Emma","q_turk_R_1ClTERpRi5gzz1c","adaccbbc254a881db6c19b3224887bcc","Yes",41,"female",14,"Gettier"
"503","Reasonable","Gerald","q_turk_R_1ClTERpRi5gzz1c","adaccbbc254a881db6c19b3224887bcc","Yes",41,"female",14,"Ignorance"
"504","Reasonable","Darrel","q_turk_R_1ClTERpRi5gzz1c","adaccbbc254a881db6c19b3224887bcc","Yes",41,"female",14,"Knowledge"
"511","Reasonable","Darrel","q_turk_R_1DASPXf9anuudK9","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",18,"Gettier"
"512","Reasonable","Emma","q_turk_R_1DASPXf9anuudK9","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",18,"Knowledge"
"513","Reasonable","Gerald","q_turk_R_1DASPXf9anuudK9","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",18,"Ignorance"
"514","Reasonable","Darrel","q_turk_R_1dFhSa6aWEXPUxA","adaccbbc254a881db6c19b3224887bcc","Yes",61,"male",15,"Ignorance"
"515","Reasonable","Emma","q_turk_R_1dFhSa6aWEXPUxA","adaccbbc254a881db6c19b3224887bcc","Yes",61,"male",15,"Knowledge"
"516","Reasonable","Gerald","q_turk_R_1dFhSa6aWEXPUxA","adaccbbc254a881db6c19b3224887bcc","Yes",61,"male",15,"Gettier"
"520","Reasonable","Emma","q_turk_R_1DosZRbS5q7ck9c","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Knowledge"
"521","Reasonable","Gerald","q_turk_R_1DosZRbS5q7ck9c","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Gettier"
"522","Reasonable","Darrel","q_turk_R_1DosZRbS5q7ck9c","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Ignorance"
"523","Reasonable","Gerald","q_turk_R_1DSUYgA2crznnRm","adaccbbc254a881db6c19b3224887bcc","Yes",56,"female",12,"Ignorance"
"524","Reasonable","Darrel","q_turk_R_1DSUYgA2crznnRm","adaccbbc254a881db6c19b3224887bcc","Yes",56,"female",12,"Knowledge"
"525","Reasonable","Emma","q_turk_R_1DSUYgA2crznnRm","adaccbbc254a881db6c19b3224887bcc","Yes",56,"female",12,"Gettier"
"526","Reasonable","Darrel","q_turk_R_1DurNdyS40bjn1X","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",14,"Knowledge"
"527","Reasonable","Emma","q_turk_R_1DurNdyS40bjn1X","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",14,"Ignorance"
"528","Reasonable","Gerald","q_turk_R_1DurNdyS40bjn1X","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",14,"Gettier"
"529","Reasonable","Gerald","q_turk_R_1dzzLIR0j0Vh7e0","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",10,"Knowledge"
"530","Reasonable","Darrel","q_turk_R_1dzzLIR0j0Vh7e0","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",10,"Ignorance"
"531","Reasonable","Emma","q_turk_R_1dzzLIR0j0Vh7e0","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",10,"Gettier"
"538","Reasonable","Gerald","q_turk_R_1eP0G7l94JqxCxW","adaccbbc254a881db6c19b3224887bcc","Yes",47,"male",12,"Gettier"
"539","Reasonable","Darrel","q_turk_R_1eP0G7l94JqxCxW","adaccbbc254a881db6c19b3224887bcc","Yes",47,"male",12,"Ignorance"
"540","Reasonable","Emma","q_turk_R_1eP0G7l94JqxCxW","adaccbbc254a881db6c19b3224887bcc","Yes",47,"male",12,"Knowledge"
"541","Reasonable","Darrel","q_turk_R_1eraYLCSOvI9a0N","adaccbbc254a881db6c19b3224887bcc","Yes",66,"female",14,"Gettier"
"542","Reasonable","Gerald","q_turk_R_1eraYLCSOvI9a0N","adaccbbc254a881db6c19b3224887bcc","Yes",66,"female",14,"Ignorance"
"543","Reasonable","Emma","q_turk_R_1eraYLCSOvI9a0N","adaccbbc254a881db6c19b3224887bcc","Yes",66,"female",14,"Knowledge"
"544","Reasonable","Gerald","q_turk_R_1eXG6UuI5D86k25","adaccbbc254a881db6c19b3224887bcc","Yes",27,"female",15,"Knowledge"
"545","Reasonable","Emma","q_turk_R_1eXG6UuI5D86k25","adaccbbc254a881db6c19b3224887bcc","Yes",27,"female",15,"Gettier"
"546","Reasonable","Darrel","q_turk_R_1eXG6UuI5D86k25","adaccbbc254a881db6c19b3224887bcc","Yes",27,"female",15,"Ignorance"
"547","Reasonable","Darrel","q_turk_R_1EZjs5tS3VwDsLC","adaccbbc254a881db6c19b3224887bcc","Yes",33,"female",15,"Gettier"
"548","Reasonable","Gerald","q_turk_R_1EZjs5tS3VwDsLC","adaccbbc254a881db6c19b3224887bcc","Yes",33,"female",15,"Ignorance"
"549","Unreasonable","Emma","q_turk_R_1EZjs5tS3VwDsLC","adaccbbc254a881db6c19b3224887bcc","Yes",33,"female",15,"Knowledge"
"550","Reasonable","Emma","q_turk_R_1F95GDS9xOz3od8","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",15,"Ignorance"
"551","Reasonable","Darrel","q_turk_R_1F95GDS9xOz3od8","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",15,"Knowledge"
"552","Reasonable","Gerald","q_turk_R_1F95GDS9xOz3od8","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",15,"Gettier"
"556","Reasonable","Darrel","q_turk_R_1FfzSXTCo6bM1X5","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",15,"Knowledge"
"557","Unreasonable","Gerald","q_turk_R_1FfzSXTCo6bM1X5","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",15,"Gettier"
"558","Reasonable","Emma","q_turk_R_1FfzSXTCo6bM1X5","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",15,"Ignorance"
"559","Reasonable","Darrel","q_turk_R_1fiJpUymCcyNQ5d","adaccbbc254a881db6c19b3224887bcc","Yes",48,"female",18,"Gettier"
"560","Reasonable","Gerald","q_turk_R_1fiJpUymCcyNQ5d","adaccbbc254a881db6c19b3224887bcc","Yes",48,"female",18,"Knowledge"
"561","Reasonable","Emma","q_turk_R_1fiJpUymCcyNQ5d","adaccbbc254a881db6c19b3224887bcc","Yes",48,"female",18,"Ignorance"
"565","Reasonable","Gerald","q_turk_R_1g771yEu6Vct9gk","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",12,"Ignorance"
"566","Reasonable","Emma","q_turk_R_1g771yEu6Vct9gk","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",12,"Knowledge"
"567","Reasonable","Darrel","q_turk_R_1g771yEu6Vct9gk","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",12,"Gettier"
"571","Reasonable","Darrel","q_turk_R_1geHuTxOfperhHY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",14,"Gettier"
"572","Reasonable","Emma","q_turk_R_1geHuTxOfperhHY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",14,"Knowledge"
"573","Reasonable","Gerald","q_turk_R_1geHuTxOfperhHY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",14,"Ignorance"
"577","Reasonable","Gerald","q_turk_R_1ghXkXxoHZyoXms","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",15,"Ignorance"
"578","Reasonable","Darrel","q_turk_R_1ghXkXxoHZyoXms","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",15,"Knowledge"
"579","Reasonable","Emma","q_turk_R_1ghXkXxoHZyoXms","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",15,"Gettier"
"580","Reasonable","Emma","q_turk_R_1gI5nNz0IBlgcsU","adaccbbc254a881db6c19b3224887bcc","Yes",51,"male",15,"Ignorance"
"581","Reasonable","Darrel","q_turk_R_1gI5nNz0IBlgcsU","adaccbbc254a881db6c19b3224887bcc","Yes",51,"male",15,"Knowledge"
"582","Reasonable","Gerald","q_turk_R_1gI5nNz0IBlgcsU","adaccbbc254a881db6c19b3224887bcc","Yes",51,"male",15,"Gettier"
"583","Reasonable","Gerald","q_turk_R_1gis1JlrcLlbmoJ","adaccbbc254a881db6c19b3224887bcc","Yes",26,"male",15,"Ignorance"
"584","Reasonable","Darrel","q_turk_R_1gis1JlrcLlbmoJ","adaccbbc254a881db6c19b3224887bcc","Yes",26,"male",15,"Knowledge"
"585","Reasonable","Emma","q_turk_R_1gis1JlrcLlbmoJ","adaccbbc254a881db6c19b3224887bcc","Yes",26,"male",15,"Gettier"
"586","Reasonable","Darrel","q_turk_R_1GNVXYm1aFUSLEY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Knowledge"
"587","Reasonable","Emma","q_turk_R_1GNVXYm1aFUSLEY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Ignorance"
"588","Reasonable","Gerald","q_turk_R_1GNVXYm1aFUSLEY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Gettier"
"589","Reasonable","Emma","q_turk_R_1gO1YjCdNVhlpus","adaccbbc254a881db6c19b3224887bcc","Yes",39,"female",15,"Gettier"
"590","Reasonable","Gerald","q_turk_R_1gO1YjCdNVhlpus","adaccbbc254a881db6c19b3224887bcc","Yes",39,"female",15,"Ignorance"
"591","Reasonable","Darrel","q_turk_R_1gO1YjCdNVhlpus","adaccbbc254a881db6c19b3224887bcc","Yes",39,"female",15,"Knowledge"
"592","Reasonable","Emma","q_turk_R_1H5LbrcQyeTbxSh","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",15,"Knowledge"
"593","Reasonable","Gerald","q_turk_R_1H5LbrcQyeTbxSh","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",15,"Gettier"
"594","Reasonable","Darrel","q_turk_R_1H5LbrcQyeTbxSh","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",15,"Ignorance"
"595","Reasonable","Gerald","q_turk_R_1H7Zumc0LCoKNhZ","adaccbbc254a881db6c19b3224887bcc","Yes",23,"female",15,"Ignorance"
"596","Reasonable","Emma","q_turk_R_1H7Zumc0LCoKNhZ","adaccbbc254a881db6c19b3224887bcc","Yes",23,"female",15,"Gettier"
"597","Reasonable","Darrel","q_turk_R_1H7Zumc0LCoKNhZ","adaccbbc254a881db6c19b3224887bcc","Yes",23,"female",15,"Knowledge"
"598","Reasonable","Emma","q_turk_R_1hGVMSfMAFBGJzF","adaccbbc254a881db6c19b3224887bcc","Yes",53,"male",17,"Ignorance"
"599","Unreasonable","Gerald","q_turk_R_1hGVMSfMAFBGJzF","adaccbbc254a881db6c19b3224887bcc","Yes",53,"male",17,"Knowledge"
"600","Reasonable","Darrel","q_turk_R_1hGVMSfMAFBGJzF","adaccbbc254a881db6c19b3224887bcc","Yes",53,"male",17,"Gettier"
"604","Reasonable","Gerald","q_turk_R_1HntWrfWmlgD8rD","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Knowledge"
"605","Reasonable","Emma","q_turk_R_1HntWrfWmlgD8rD","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Ignorance"
"606","Reasonable","Darrel","q_turk_R_1HntWrfWmlgD8rD","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Gettier"
"607","Reasonable","Darrel","q_turk_R_1HpeKZYuDbDD5OB","adaccbbc254a881db6c19b3224887bcc","Yes",50,"male",15,"Ignorance"
"608","Reasonable","Gerald","q_turk_R_1HpeKZYuDbDD5OB","adaccbbc254a881db6c19b3224887bcc","Yes",50,"male",15,"Gettier"
"609","Reasonable","Emma","q_turk_R_1HpeKZYuDbDD5OB","adaccbbc254a881db6c19b3224887bcc","Yes",50,"male",15,"Knowledge"
"619","Reasonable","Gerald","q_turk_R_1iqBSc7aC7dHDPx","adaccbbc254a881db6c19b3224887bcc","Yes",69,"female",14,"Gettier"
"620","Reasonable","Emma","q_turk_R_1iqBSc7aC7dHDPx","adaccbbc254a881db6c19b3224887bcc","Yes",69,"female",14,"Knowledge"
"621","Reasonable","Darrel","q_turk_R_1iqBSc7aC7dHDPx","adaccbbc254a881db6c19b3224887bcc","Yes",69,"female",14,"Ignorance"
"622","Reasonable","Darrel","q_turk_R_1j7DOc122tkIcr7","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",12,"Gettier"
"623","Reasonable","Emma","q_turk_R_1j7DOc122tkIcr7","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",12,"Knowledge"
"624","Reasonable","Gerald","q_turk_R_1j7DOc122tkIcr7","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",12,"Ignorance"
"625","Reasonable","Darrel","q_turk_R_1j8M7Hw4lOnA2mM","adaccbbc254a881db6c19b3224887bcc","Yes",26,"female",15,"Ignorance"
"626","Reasonable","Emma","q_turk_R_1j8M7Hw4lOnA2mM","adaccbbc254a881db6c19b3224887bcc","Yes",26,"female",15,"Gettier"
"627","Reasonable","Gerald","q_turk_R_1j8M7Hw4lOnA2mM","adaccbbc254a881db6c19b3224887bcc","Yes",26,"female",15,"Knowledge"
"628","Reasonable","Darrel","q_turk_R_1JD9HEDcNUeSzd4","adaccbbc254a881db6c19b3224887bcc","Yes",46,"male",14,"Ignorance"
"629","Reasonable","Emma","q_turk_R_1JD9HEDcNUeSzd4","adaccbbc254a881db6c19b3224887bcc","Yes",46,"male",14,"Knowledge"
"630","Reasonable","Gerald","q_turk_R_1JD9HEDcNUeSzd4","adaccbbc254a881db6c19b3224887bcc","Yes",46,"male",14,"Gettier"
"631","Reasonable","Darrel","q_turk_R_1jlfCFLTfZFufy3","adaccbbc254a881db6c19b3224887bcc","Yes",22,"male",12,"Knowledge"
"632","Reasonable","Emma","q_turk_R_1jlfCFLTfZFufy3","adaccbbc254a881db6c19b3224887bcc","Yes",22,"male",12,"Ignorance"
"633","Reasonable","Gerald","q_turk_R_1jlfCFLTfZFufy3","adaccbbc254a881db6c19b3224887bcc","Yes",22,"male",12,"Gettier"
"637","Reasonable","Gerald","q_turk_R_1JWwJIyCHV8SGrG","adaccbbc254a881db6c19b3224887bcc","Yes",44,"female",14,"Gettier"
"638","Reasonable","Darrel","q_turk_R_1JWwJIyCHV8SGrG","adaccbbc254a881db6c19b3224887bcc","Yes",44,"female",14,"Knowledge"
"639","Unreasonable","Emma","q_turk_R_1JWwJIyCHV8SGrG","adaccbbc254a881db6c19b3224887bcc","Yes",44,"female",14,"Ignorance"
"640","Reasonable","Emma","q_turk_R_1kMTo69lokcyu5z","adaccbbc254a881db6c19b3224887bcc","Yes",68,"female",12,"Knowledge"
"641","Reasonable","Gerald","q_turk_R_1kMTo69lokcyu5z","adaccbbc254a881db6c19b3224887bcc","Yes",68,"female",12,"Gettier"
"642","Reasonable","Darrel","q_turk_R_1kMTo69lokcyu5z","adaccbbc254a881db6c19b3224887bcc","Yes",68,"female",12,"Ignorance"
"643","Reasonable","Emma","q_turk_R_1KN4WW9BSoaQWHv","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",14,"Knowledge"
"644","Reasonable","Darrel","q_turk_R_1KN4WW9BSoaQWHv","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",14,"Ignorance"
"645","Reasonable","Gerald","q_turk_R_1KN4WW9BSoaQWHv","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",14,"Gettier"
"646","Reasonable","Darrel","q_turk_R_1kSnGWkmJhFnEgX","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Knowledge"
"647","Reasonable","Gerald","q_turk_R_1kSnGWkmJhFnEgX","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Ignorance"
"648","Reasonable","Emma","q_turk_R_1kSnGWkmJhFnEgX","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Gettier"
"655","Reasonable","Emma","q_turk_R_1kXEj05sqUlqKC1","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Gettier"
"656","Reasonable","Gerald","q_turk_R_1kXEj05sqUlqKC1","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Knowledge"
"657","Reasonable","Darrel","q_turk_R_1kXEj05sqUlqKC1","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Ignorance"
"658","Reasonable","Emma","q_turk_R_1l61LOAC4kh8eUM","adaccbbc254a881db6c19b3224887bcc","Yes",49,"male",15,"Knowledge"
"659","Reasonable","Gerald","q_turk_R_1l61LOAC4kh8eUM","adaccbbc254a881db6c19b3224887bcc","Yes",49,"male",15,"Ignorance"
"660","Reasonable","Darrel","q_turk_R_1l61LOAC4kh8eUM","adaccbbc254a881db6c19b3224887bcc","Yes",49,"male",15,"Gettier"
"661","Reasonable","Darrel","q_turk_R_1LAlKGr5eDvIshH","adaccbbc254a881db6c19b3224887bcc","Yes",44,"male",14,"Ignorance"
"662","Reasonable","Emma","q_turk_R_1LAlKGr5eDvIshH","adaccbbc254a881db6c19b3224887bcc","Yes",44,"male",14,"Gettier"
"663","Reasonable","Gerald","q_turk_R_1LAlKGr5eDvIshH","adaccbbc254a881db6c19b3224887bcc","Yes",44,"male",14,"Knowledge"
"664","Reasonable","Emma","q_turk_R_1Ld3qz2KR68xeVE","adaccbbc254a881db6c19b3224887bcc","Yes",44,"female",15,"Knowledge"
"665","Reasonable","Gerald","q_turk_R_1Ld3qz2KR68xeVE","adaccbbc254a881db6c19b3224887bcc","Yes",44,"female",15,"Ignorance"
