prepar,previg,precon,prekb,prer
1,1,0,71,89
1,2,0,31,89
1,0,0,43,79
2,1,0,35,81
2,2,0,15,68
2,0,0,39,90
3,2,0,0,100
3,0,0,0,100
3,1,2,0,100
4,2,0,15,51
4,0,0,32,94
4,1,2,23,82
5,1,1,57,95
5,2,0,34,75
5,0,0,38,83
6,1,1,100,100
6,2,0,0,99
6,0,0,0,100
7,1,0,0,100
7,2,0,1,100
7,0,0,77,100
8,2,0,0,100
8,0,0,100,100
8,1,2,0,100
9,2,0,10,85
9,0,0,100,95
9,1,2,35,95
10,2,0,15,100
10,0,0,0,100
10,1,2,0,100
11,1,0,87,87
11,2,0,24,89
11,0,0,89,99
12,1,0,100,100
12,2,0,0,100
12,0,0,100,100
13,1,1,100,100
13,2,0,0,0
13,0,0,100,100
14,1,1,100,100
14,2,0,100,100
14,0,0,100,100
15,1,1,100,100
15,2,0,100,100
15,0,0,100,100
16,1,0,0,99
16,2,0,1,1
16,0,2,3,100
17,1,0,73,90
17,2,0,15,80
17,0,2,0,75
18,1,0,35,93
18,2,0,38,93
18,0,2,40,93
19,1,0,0,46
19,2,0,0,72
19,0,2,0,61
20,2,0,0,100
20,1,2,0,100
20,0,2,0,100
21,2,0,1,99
21,1,2,1,99
21,0,2,1,99
22,2,0,10,100
22,1,2,0,100
22,0,2,0,100
23,1,1,78,79
23,2,0,21,89
23,0,2,19,85
24,1,1,15,67
24,2,0,8,96
24,0,2,64,71
25,1,0,86,90
25,2,0,4,96
25,0,2,5,97
26,1,0,75,100
26,2,0,50,90
26,0,2,25,75
27,1,0,98,97
27,2,0,2,98
27,0,2,2,97
28,1,0,11,90
28,2,0,4,91
28,0,2,11,85
29,1,1,92,100
29,2,0,0,100
29,0,2,0,100
30,1,0,73,100
30,2,0,35,60
30,0,2,0,98
31,2,0,50,99
31,1,2,1,100
31,0,2,1,100
32,2,0,92,100
32,1,2,7,100
32,0,2,22,100
33,1,0,100,100
33,2,0,100,100
33,0,2,0,100
34,1,0,100,100
34,2,0,100,100
34,0,2,0,100
35,1,1,100,100
35,2,0,92,100
35,0,2,0,100
36,1,0,0,100
36,2,0,100,100
36,0,2,0,100
37,0,1,82,88
37,1,0,3,81
37,2,0,2,81
38,0,1,30,92
38,2,0,27,79
38,1,2,0,78
39,1,1,0,100
39,0,1,100,100
39,2,0,0,100
40,0,1,99,99
40,1,0,2,99
40,2,0,1,98
41,0,1,47,97
41,1,0,46,92
41,2,0,16,96
42,0,1,100,100
42,1,0,20,100
42,2,0,15,99
43,0,1,100,100
43,1,0,100,100
43,2,0,0,100
44,0,1,100,98
44,2,0,9,91
44,1,2,1,93
45,0,1,100,100
45,2,0,0,100
45,1,2,0,100
46,0,1,97,100
46,2,0,71,100
46,1,2,0,100
47,0,1,100,100
47,2,0,75,100
47,1,2,0,100
48,0,1,100,100
48,2,0,0,100
48,1,2,0,100
49,0,1,25,95
49,1,0,92,94
49,2,0,11,91
50,0,1,99,99
50,1,0,100,99
50,2,0,55,92
51,0,1,82,84
51,1,0,79,87
51,2,0,28,78
52,0,1,100,100
52,1,0,50,100
52,2,0,12,82
53,1,1,10,100
53,0,1,100,100
53,2,0,0,100
54,1,0,1,100
54,0,0,2,89
54,2,2,0,75
55,0,0,0,87
55,1,2,100,100
55,2,2,1,100
56,1,1,95,98
56,0,0,11,86
56,2,2,1,69
57,1,1,86,99
57,0,0,18,80
57,2,2,0,99
58,0,0,98,94
58,1,2,5,97
58,2,2,8,94
59,0,0,100,100
59,1,2,0,100
59,2,2,0,99
60,0,0,99,99
60,1,2,1,100
60,2,2,1,99
61,1,0,61,62
61,0,0,22,63
61,2,2,6,75
62,1,0,65,100
62,0,0,100,100
62,2,2,0,100
63,1,1,100,100
63,0,0,100,100
63,2,2,0,100
64,1,0,,
64,2,2,0,100
64,0,2,0,98
65,1,0,40,98
65,2,2,1,100
65,0,2,5,95
66,1,2,26,86
66,2,2,32,67
66,0,2,27,67
67,1,2,23,89
67,2,2,6,93
67,0,2,11,88
68,1,2,6,95
68,2,2,0,88
68,0,2,3,68
69,1,2,0,100
69,2,2,0,100
69,0,2,0,100
70,1,2,0,100
70,2,2,0,100
70,0,2,0,0
71,1,0,96,96
71,2,2,7,97
71,0,2,8,94
72,1,0,100,100
72,2,2,0,100
72,0,2,2,70
73,1,1,100,100
73,2,2,0,45
73,0,2,0,100
74,1,1,99,97
74,2,2,1,99
74,0,2,1,80
75,1,1,79,98
75,2,2,1,90
75,0,2,0,89
76,1,1,100,100
76,2,2,0,100
76,0,2,15,99
77,1,1,100,100
77,2,2,0,100
77,0,2,0,100
78,1,1,100,100
78,2,2,0,100
78,0,2,0,100
79,1,1,90,100
79,2,2,70,100
79,0,2,0,90
80,1,2,37,33
80,2,2,23,38
80,0,2,34,35
81,1,1,30,100
81,0,1,40,95
81,2,2,0,90
82,0,1,90,100
82,1,0,81,99
82,2,2,10,36
83,0,1,80,100
83,1,2,0,90
83,2,2,5,80
84,0,1,4,100
84,1,2,1,78
84,2,2,5,88
85,0,1,40,71
85,1,2,0,89
85,2,2,27,58
86,0,1,100,100
86,1,2,0,100
86,2,2,50,50
87,0,1,100,100
87,1,2,0,100
87,2,2,0,90
88,0,1,76,91
88,1,2,8,100
88,2,2,5,91
89,1,1,28,100
89,0,1,65,95
89,2,2,0,100
90,0,1,90,91
90,1,0,100,100
90,2,2,0,1
91,0,1,98,98
91,1,2,71,100
91,2,2,11,74
92,1,1,100,100
92,0,1,100,100
92,2,2,0,100
93,1,1,100,100
93,0,1,100,100
93,2,2,0,100
94,1,1,49,98
94,0,1,100,100
94,2,2,0,100
95,1,1,100,100
95,0,1,88,94
