StartDate,EndDate,Status,IPAddress,Progress,Duration_sec,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,gender,gender_other,age,race_ethnic,race_other,knows_believes,squirrel_prairie,reason_unreason,knows_believesVAS,reason_unreasonVAS,sona_id,para_condition,scale_condition
4/24/19 12:06,4/24/19 12:09,0,,100,127,1,4/24/19 12:09,R_1MM2k80goABefFA,,,,,,,anonymous,EN,1,Male,,22,White/European,,Believes,Squirrel,Reasonable,,,58709,Gettier Case,Original
4/24/19 16:12,4/24/19 16:16,0,,100,226,1,4/24/19 16:16,R_1OJ4RiJnD20FjSa,,,,,,,anonymous,EN,1,Female,,18,Other,Mixed-Race,,Squirrel,,30,90,60022,Gettier Case,VAS
4/24/19 16:44,4/24/19 16:46,0,,100,95,1,4/24/19 16:46,R_30uBz6mu4DRIjHa,,,,,,,anonymous,EN,1,Female,,19,White/European,,Believes,Prairie Dog,Reasonable,,,59193,Ignorance Case,Original
4/24/19 20:39,4/24/19 20:41,0,,100,121,1,4/24/19 20:41,R_1r94KnhSwiKrJlB,,,,,,,anonymous,EN,1,Female,,19,Latin/Hispanic,,,Squirrel,,20,90,59793,Knowledge Case,VAS
4/25/19 11:15,4/25/19 11:20,0,,100,273,1,4/25/19 11:20,R_xF5LomJtPUAnGRr,,,,,,,anonymous,EN,1,Male,,22,Latin/Hispanic,,,Squirrel,,90,100,59343,Knowledge Case,VAS
4/25/19 15:21,4/25/19 15:22,0,,100,84,1,4/25/19 15:22,R_PMWh1ZUrLTZa4uJ,,,,,,,anonymous,EN,1,Male,,19,White/European,,Believes,Prairie Dog,Reasonable,,,59801,Ignorance Case,Original
4/25/19 23:20,4/25/19 23:21,0,,100,68,1,4/25/19 23:21,R_2qw6IUUrCeoDqso,,,,,,,anonymous,EN,1,Female,,19,White/European,,Knows,Squirrel,Reasonable,,,58778,Gettier Case,Original
4/27/19 13:00,4/27/19 13:02,0,,100,96,1,4/27/19 13:02,R_3g8cPCgIwNgZepu,,,,,,,anonymous,EN,1,Female,,18,White/European,,,Squirrel,,100,100,59427,Knowledge Case,VAS
4/28/19 9:43,4/28/19 9:46,0,,100,188,1,4/28/19 9:46,R_26f13wcnPFiJYi6,,,,,,,anonymous,EN,1,Female,,24,Black/African,,,Prairie Dog,,90,80,58919,Ignorance Case,VAS
4/28/19 11:39,4/28/19 11:41,0,,100,147,1,4/28/19 11:41,R_AicoLuJIuBzYFzj,,,,,,,anonymous,EN,1,Female,,19,White/European,,Knows,Squirrel,Reasonable,,,58818,Gettier Case,Original
