"","values","description"
"StartDate.1","4/24/19 12:06","4/24/19 12:06"
"StartDate.2","4/24/19 16:12","4/24/19 16:12"
"StartDate.3","4/24/19 16:44","4/24/19 16:44"
"StartDate.4","4/24/19 20:39","4/24/19 20:39"
"StartDate.5","4/25/19 11:15","4/25/19 11:15"
"StartDate.6","4/25/19 15:21","4/25/19 15:21"
"StartDate.7","4/25/19 23:20","4/25/19 23:20"
"StartDate.8","4/27/19 13:00","4/27/19 13:00"
"StartDate.9","4/28/19 11:39","4/28/19 11:39"
"StartDate.10","4/28/19 15:15","4/28/19 15:15"
"StartDate.11","4/28/19 17:40","4/28/19 17:40"
"StartDate.12","4/28/19 18:49","4/28/19 18:49"
"StartDate.13","4/28/19 9:43","4/28/19 9:43"
"StartDate.14","4/29/19 0:05","4/29/19 0:05"
"StartDate.15","4/29/19 12:10","4/29/19 12:10"
"StartDate.16","4/30/19 12:02","4/30/19 12:02"
"StartDate.17","4/30/19 15:25","4/30/19 15:25"
"StartDate.18","4/30/19 16:49","4/30/19 16:49"
"StartDate.19","5/1/19 10:26","5/1/19 10:26"
"StartDate.20","5/1/19 17:22","5/1/19 17:22"
"StartDate.21","5/3/19 11:26","5/3/19 11:26"
"StartDate.22","5/3/19 12:58","5/3/19 12:58"
"StartDate.23","5/3/19 15:44","5/3/19 15:44"
"StartDate.24","5/4/19 17:59","5/4/19 17:59"
"StartDate.25","5/5/19 13:34","5/5/19 13:34"
"StartDate.26","5/6/19 14:13","5/6/19 14:13"
"StartDate.27","5/6/19 14:51","5/6/19 14:51"
"StartDate.28","5/6/19 16:09","5/6/19 16:09"
"StartDate.29","5/6/19 18:09","5/6/19 18:09"
"StartDate.30","5/6/19 20:58","5/6/19 20:58"
"StartDate.31","5/6/19 22:48","5/6/19 22:48"
"StartDate.32","5/7/19 1:38","5/7/19 1:38"
"StartDate.33","5/7/19 11:22","5/7/19 11:22"
"StartDate.34","5/7/19 12:05","5/7/19 12:05"
"StartDate.35","5/7/19 13:08","5/7/19 13:08"
"StartDate.36","5/7/19 13:44","5/7/19 13:44"
"StartDate.37","5/7/19 15:51","5/7/19 15:51"
"StartDate.38","5/7/19 18:19","5/7/19 18:19"
"StartDate.39","5/7/19 19:54","5/7/19 19:54"
"StartDate.40","5/7/19 20:55","5/7/19 20:55"
"StartDate.41","5/7/19 23:02","5/7/19 23:02"
"StartDate.42","5/8/19 10:44","5/8/19 10:44"
"StartDate.43","5/8/19 12:03","5/8/19 12:03"
"StartDate.44","5/8/19 14:37","5/8/19 14:37"
"StartDate.45","5/8/19 15:12","5/8/19 15:12"
"StartDate.46","5/8/19 16:53","5/8/19 16:53"
"StartDate.47","5/8/19 17:28","5/8/19 17:28"
"StartDate.48","5/8/19 17:55","5/8/19 17:55"
"StartDate.49","5/8/19 18:33","5/8/19 18:33"
"StartDate.50","5/8/19 19:15","5/8/19 19:15"
"StartDate.51","5/8/19 19:26","5/8/19 19:26"
"StartDate.52","5/8/19 19:27","5/8/19 19:27"
"StartDate.53","5/8/19 19:34","5/8/19 19:34"
"StartDate.54","5/8/19 20:21","5/8/19 20:21"
"StartDate.55","5/8/19 20:45","5/8/19 20:45"
"StartDate.56","5/8/19 21:13","5/8/19 21:13"
"StartDate.57","5/8/19 21:47","5/8/19 21:47"
"StartDate.58","5/8/19 21:49","5/8/19 21:49"
"StartDate.59","5/8/19 22:50","5/8/19 22:50"
"StartDate.60","5/8/19 23:15","5/8/19 23:15"
"StartDate.61","5/8/19 9:25","5/8/19 9:25"
"StartDate.62","5/9/19 0:25","5/9/19 0:25"
"StartDate.63","5/9/19 0:49","5/9/19 0:49"
"StartDate.64","5/9/19 0:57","5/9/19 0:57"
"StartDate.65","5/9/19 10:15","5/9/19 10:15"
"StartDate.66","5/9/19 10:20","5/9/19 10:20"
"StartDate.67","5/9/19 10:38","5/9/19 10:38"
"StartDate.68","5/9/19 10:47","5/9/19 10:47"
"StartDate.69","5/9/19 10:55","5/9/19 10:55"
"StartDate.70","5/9/19 5:37","5/9/19 5:37"
"StartDate.71","5/9/19 8:44","5/9/19 8:44"
"StartDate.72","5/9/19 9:20","5/9/19 9:20"
"StartDate.73","5/9/19 9:31","5/9/19 9:31"
"EndDate.1","4/24/19 12:09","4/24/19 12:09"
"EndDate.2","4/24/19 16:16","4/24/19 16:16"
"EndDate.3","4/24/19 16:46","4/24/19 16:46"
"EndDate.4","4/24/19 20:41","4/24/19 20:41"
"EndDate.5","4/25/19 11:20","4/25/19 11:20"
"EndDate.6","4/25/19 15:22","4/25/19 15:22"
"EndDate.7","4/25/19 23:21","4/25/19 23:21"
"EndDate.8","4/27/19 13:02","4/27/19 13:02"
"EndDate.9","4/28/19 11:41","4/28/19 11:41"
"EndDate.10","4/28/19 15:16","4/28/19 15:16"
"EndDate.11","4/28/19 17:41","4/28/19 17:41"
"EndDate.12","4/28/19 18:52","4/28/19 18:52"
"EndDate.13","4/28/19 9:46","4/28/19 9:46"
"EndDate.14","4/29/19 0:07","4/29/19 0:07"
"EndDate.15","4/29/19 12:13","4/29/19 12:13"
"EndDate.16","4/30/19 12:03","4/30/19 12:03"
"EndDate.17","4/30/19 15:25","4/30/19 15:25"
"EndDate.18","4/30/19 16:53","4/30/19 16:53"
"EndDate.19","5/1/19 10:29","5/1/19 10:29"
"EndDate.20","5/1/19 17:26","5/1/19 17:26"
"EndDate.21","5/3/19 11:27","5/3/19 11:27"
"EndDate.22","5/3/19 13:03","5/3/19 13:03"
"EndDate.23","5/3/19 15:46","5/3/19 15:46"
"EndDate.24","5/4/19 18:00","5/4/19 18:00"
"EndDate.25","5/5/19 13:35","5/5/19 13:35"
"EndDate.26","5/6/19 14:14","5/6/19 14:14"
"EndDate.27","5/6/19 14:53","5/6/19 14:53"
"EndDate.28","5/6/19 16:12","5/6/19 16:12"
"EndDate.29","5/6/19 18:12","5/6/19 18:12"
"EndDate.30","5/6/19 21:32","5/6/19 21:32"
"EndDate.31","5/6/19 22:49","5/6/19 22:49"
"EndDate.32","5/7/19 1:40","5/7/19 1:40"
"EndDate.33","5/7/19 11:24","5/7/19 11:24"
"EndDate.34","5/7/19 12:05","5/7/19 12:05"
"EndDate.35","5/7/19 13:09","5/7/19 13:09"
"EndDate.36","5/7/19 13:45","5/7/19 13:45"
"EndDate.37","5/7/19 15:54","5/7/19 15:54"
"EndDate.38","5/7/19 18:20","5/7/19 18:20"
"EndDate.39","5/7/19 19:59","5/7/19 19:59"
"EndDate.40","5/7/19 21:00","5/7/19 21:00"
"EndDate.41","5/7/19 23:03","5/7/19 23:03"
"EndDate.42","5/8/19 10:45","5/8/19 10:45"
"EndDate.43","5/8/19 12:05","5/8/19 12:05"
"EndDate.44","5/8/19 14:41","5/8/19 14:41"
"EndDate.45","5/8/19 15:14","5/8/19 15:14"
"EndDate.46","5/8/19 16:56","5/8/19 16:56"
"EndDate.47","5/8/19 17:29","5/8/19 17:29"
"EndDate.48","5/8/19 17:56","5/8/19 17:56"
"EndDate.49","5/8/19 18:33","5/8/19 18:33"
"EndDate.50","5/8/19 19:18","5/8/19 19:18"
"EndDate.51","5/8/19 19:28","5/8/19 19:28"
"EndDate.52","5/8/19 19:29","5/8/19 19:29"
"EndDate.53","5/8/19 19:37","5/8/19 19:37"
"EndDate.54","5/8/19 20:24","5/8/19 20:24"
"EndDate.55","5/8/19 20:48","5/8/19 20:48"
"EndDate.56","5/8/19 21:14","5/8/19 21:14"
"EndDate.57","5/8/19 21:48","5/8/19 21:48"
"EndDate.58","5/8/19 21:50","5/8/19 21:50"
"EndDate.59","5/8/19 22:57","5/8/19 22:57"
"EndDate.60","5/8/19 23:16","5/8/19 23:16"
"EndDate.61","5/8/19 9:32","5/8/19 9:32"
"EndDate.62","5/9/19 0:26","5/9/19 0:26"
"EndDate.63","5/9/19 0:50","5/9/19 0:50"
"EndDate.64","5/9/19 0:58","5/9/19 0:58"
"EndDate.65","5/9/19 10:17","5/9/19 10:17"
"EndDate.66","5/9/19 10:21","5/9/19 10:21"
"EndDate.67","5/9/19 10:39","5/9/19 10:39"
"EndDate.68","5/9/19 10:48","5/9/19 10:48"
"EndDate.69","5/9/19 10:57","5/9/19 10:57"
"EndDate.70","5/9/19 5:38","5/9/19 5:38"
"EndDate.71","5/9/19 8:46","5/9/19 8:46"
"EndDate.72","5/9/19 9:22","5/9/19 9:22"
"EndDate.73","5/9/19 9:33","5/9/19 9:33"
"Status","0","0"
"Progress","100","100"
"Duration_sec.1","31","31"
"Duration_sec.2","32","32"
"Duration_sec.3","36","36"
"Duration_sec.4","42","42"
"Duration_sec.5","43","43"
"Duration_sec.6","44","44"
"Duration_sec.7","57","57"
"Duration_sec.8","58","58"
"Duration_sec.9","59","59"
"Duration_sec.10","65","65"
"Duration_sec.11","66","66"
"Duration_sec.12","67","67"
"Duration_sec.13","68","68"
"Duration_sec.14","74","74"
"Duration_sec.15","76","76"
"Duration_sec.16","77","77"
"Duration_sec.17","78","78"
"Duration_sec.18","79","79"
"Duration_sec.19","80","80"
"Duration_sec.20","81","81"
"Duration_sec.21","83","83"
"Duration_sec.22","84","84"
"Duration_sec.23","85","85"
"Duration_sec.24","87","87"
"Duration_sec.25","89","89"
"Duration_sec.26","91","91"
"Duration_sec.27","93","93"
"Duration_sec.28","94","94"
"Duration_sec.29","95","95"
"Duration_sec.30","96","96"
"Duration_sec.31","102","102"
"Duration_sec.32","104","104"
"Duration_sec.33","112","112"
"Duration_sec.34","113","113"
"Duration_sec.35","116","116"
"Duration_sec.36","120","120"
"Duration_sec.37","121","121"
"Duration_sec.38","127","127"
"Duration_sec.39","132","132"
"Duration_sec.40","146","146"
"Duration_sec.41","147","147"
"Duration_sec.42","149","149"
"Duration_sec.43","160","160"
"Duration_sec.44","171","171"
"Duration_sec.45","173","173"
"Duration_sec.46","179","179"
"Duration_sec.47","188","188"
"Duration_sec.48","196","196"
"Duration_sec.49","201","201"
"Duration_sec.50","215","215"
"Duration_sec.51","222","222"
"Duration_sec.52","226","226"
"Duration_sec.53","231","231"
"Duration_sec.54","265","265"
"Duration_sec.55","272","272"
"Duration_sec.56","273","273"
"Duration_sec.57","285","285"
"Duration_sec.58","299","299"
"Duration_sec.59","405","405"
"Duration_sec.60","434","434"
"Duration_sec.61","2038","2038"
"Finished","1","Finished"
"RecordedDate.1","4/24/19 12:09","4/24/19 12:09"
"RecordedDate.2","4/24/19 16:16","4/24/19 16:16"
"RecordedDate.3","4/24/19 16:46","4/24/19 16:46"
"RecordedDate.4","4/24/19 20:41","4/24/19 20:41"
"RecordedDate.5","4/25/19 11:20","4/25/19 11:20"
"RecordedDate.6","4/25/19 15:22","4/25/19 15:22"
"RecordedDate.7","4/25/19 23:21","4/25/19 23:21"
"RecordedDate.8","4/27/19 13:02","4/27/19 13:02"
"RecordedDate.9","4/28/19 11:41","4/28/19 11:41"
"RecordedDate.10","4/28/19 15:16","4/28/19 15:16"
"RecordedDate.11","4/28/19 17:41","4/28/19 17:41"
"RecordedDate.12","4/28/19 18:52","4/28/19 18:52"
"RecordedDate.13","4/28/19 9:46","4/28/19 9:46"
"RecordedDate.14","4/29/19 0:07","4/29/19 0:07"
"RecordedDate.15","4/29/19 12:13","4/29/19 12:13"
"RecordedDate.16","4/30/19 12:03","4/30/19 12:03"
"RecordedDate.17","4/30/19 15:25","4/30/19 15:25"
"RecordedDate.18","4/30/19 16:53","4/30/19 16:53"
"RecordedDate.19","5/1/19 10:29","5/1/19 10:29"
