"CASE","QUESTNNR","MODE","LANGUAGE","STARTED","VD02_01","VE02_01","VE03","VE04_01","VE05","VE06_01","VE07","Name_order","Condition_order","Binary_label_balance","CS02","DV01_FmF","DV01_ScW","DV01_ScH","DV01_QnW","lab_ID","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME_SUM","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","VD03","VD04_01","VD05","VD06_01","VD07","VG02_01","VG03","VG04_01","VG05","VG06_01","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","VG07","DF01_01","DF02_01","DF03_01","DF04_01","DF05_01","DF06_01","DF07_01","DF08_01","DF09_01","DF10_01","DF11_01","DD02","DD05","DD05_01","DD05_02","DD05_03","DD05_04","DD05_05","DD05_06","DD05_07","DD05_08","DD05_09","DD06","SF01","RC01_01","RW01","RW02","RW02_01","TIME026","TIME035","TIME036","TIME037","TIME038","TIME039","TIME040","TIME041","TIME042","TIME043","DF12_01","DD01_01","Add_vignette_cond","XA01_01","XA02","XA03_01","XA04","XA05_01","XA06","TIME027","TIME028","TIME029","TIME030","TIME031","TIME032","TIME033","TIME034","TIME046","DF13_01","DF14_01","DF15_01","DD03_01","DD04_01","RW03","TIME044","Scale_type","VE08","VD08","VD09","VD10","VG08","VG09","VG10","VE09","VE10","XB01_01","XB07","XB02","XB08","XB04","XB09","XB06","XB03_01","XB05_01","DD02_03","DD05_09a","AD03_01","UR01_01","XA07","XA08","XA09","RW02_04","RW02_03","AD01","UR01_02","Normal_vs_expertise","XC01_01","XC02","XC03_01","XC04","XC05_01","XC06","AD04","AD06","AD07","AD08","AD09","AD10","AD11","AD12","AD13","AD14","AD15","AD16","AD17","AD18","AD19","AD20","AD21","AD22","TIME047","TIME045","AD23","AD24","AD25","AD26","AD27","RW02_02","Darrel_cond","Gerald_cond","Emma_cond","TIME048","REF","AD28_01","AD28_02","AD28_03","AD28_04","AD28_05","AD28_06","isCorrect"
4636,"T2","interview","ger","2019-12-17 23:15:34",NA,NA,1,NA,2,NA,2,"GDE","GKI","normal",1,1,1408,792,780,"AC1805_N",3,4,2,2,3,3,3,3,19,3,2,2,2,156,"2019-12-17 23:18:10",1,0,43,43,1,NA,2,NA,2,NA,1,NA,1,NA,3,2,3,4,2,2,3,3,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,3,1,"d",3,6,5,9,NA,10,7,6,3,5,"TEST",NA,"K",NA,NA,NA,NA,NA,NA,1,2,2,3,3,2,3,3,NA,"TEST","TEST",NA,NA,NA,NA,NA,"binary",1,2,1,2,1,2,1,2,1,NA,2,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","G","I",NA,NA,NA,NA,NA,NA,NA,NA,0
4706,"T2","interview","ger","2019-12-18 12:34:37",NA,NA,2,NA,2,NA,2,"EDG","GIK","normal",1,1,1366,768,780,"AC1805_N",46,12,4,32,23,5,11,6,19,11,4,71,18,1034,"2019-12-18 12:52:20",1,0,43,43,2,NA,2,NA,1,NA,2,NA,2,NA,4,14,34,8,17,4,60,38,6,5,5,14,2,5,9,4,4,7,4,4,7,1,5,3,1,1,2,1,1,1,1,1,1,1,1,3,1,NA,2,4,NA,12,30,25,35,NA,263,80,23,7,20,NA,"22","I",NA,NA,NA,NA,NA,NA,3,54,5,4,12,6,3,10,NA,"Unterschiede glauben/ wissen im Kontext mit Fachpersonen.","Gut","Nein","Kassel","Deutschland",NA,NA,"binary",2,2,2,2,2,1,1,1,1,NA,2,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Essen",NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","K","G",NA,"pc8",NA,NA,NA,NA,NA,NA,0
4707,"T2","interview","ger","2019-12-18 12:34:44",NA,NA,2,NA,2,NA,2,"GDE","GIK","normal",1,1,1366,768,780,"AC1805_N",63,71,9,89,16,5,28,15,40,42,5,79,18,1382,"2019-12-18 13:00:26",1,0,42,42,2,NA,2,NA,2,NA,1,NA,1,NA,4,9,7,28,12,5,118,14,31,48,32,20,2,4,7,3,6,4,6,8,6,3,4,3,1,1,2,1,1,1,1,1,1,1,1,16,1,NA,1,NA,NA,20,105,27,69,NA,214,39,22,6,NA,"Keine Anmerkungen. :)","27","I",NA,NA,NA,NA,NA,NA,5,168,9,7,15,5,9,14,NA,"Ich vermute, dass es darum geht, das Problem, missverständlich gestellte Fragen in Klausuren u.a. zu verbessern und um sich über die Lesegenauigkeit der Teilnehmer einen Überblick zu verschaffen.","Teilweise höchst undurchdringlich verfasst, vermutlich absichtlich.","Bisher nicht.","Deutschland","Deutschland",NA,NA,"binary",2,1,1,1,1,1,2,1,1,NA,2,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","G","K",NA,"pc5",NA,NA,NA,NA,NA,NA,0
4709,"T2","interview","ger","2019-12-18 12:39:39",NA,NA,2,NA,2,NA,1,"EDG","GIK","normal",1,1,1366,768,780,"AC1805_N",26,6,6,26,12,4,10,7,21,19,14,40,15,811,"2019-12-18 12:53:10",1,0,43,43,2,NA,2,NA,2,NA,1,NA,1,NA,8,9,6,16,17,3,38,18,3,6,7,8,1,2,9,8,8,9,1,4,3,1,3,3,1,1,2,1,1,1,1,1,1,1,1,13,1,NA,2,4,NA,11,27,29,108,NA,127,46,10,6,24,"-","23","I",NA,NA,NA,NA,NA,NA,2,29,12,4,11,4,8,8,NA,"Die Studie soll aussagen, wie Menschen sich in Bezug auf verschiedene Situationen ausdrücken. Menschen glauben oft, etwas zu wissen, obwohl sie viele Dinge ""nur"" glauben.","Ich fand die Materialien gut ausgewählt und verständlich.","nein","Deutschland","Deutschland",NA,NA,"binary",2,2,1,2,1,1,2,1,2,NA,2,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schoki",NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","K","G",NA,"pc2",NA,NA,NA,NA,NA,NA,0
4710,"T2","interview","ger","2019-12-18 12:39:43",NA,NA,1,NA,2,NA,2,"DEG","GIK","normal",1,1,1366,768,780,"AC1805_N",22,8,7,50,16,8,11,15,28,15,5,42,13,773,"2019-12-18 12:52:36",1,0,43,43,1,NA,1,NA,2,NA,1,NA,1,NA,5,7,7,10,22,2,74,10,8,7,9,15,2,3,8,5,9,8,3,6,8,2,5,6,1,1,2,1,1,1,1,1,1,1,1,13,2,NA,2,4,NA,18,29,33,34,NA,16,57,12,7,23,NA,"23","G",NA,NA,NA,NA,NA,NA,2,66,10,7,8,8,10,17,NA,NA,NA,NA,"Deutschland","Moldawien",NA,NA,"binary",1,1,1,2,2,1,2,1,2,NA,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"süßigkeiten",NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","K","I",NA,"pc1",NA,NA,NA,NA,NA,NA,0
4719,"T2","interview","ger","2019-12-18 12:51:16",101,5,1,101,1,49,2,"EDG","GKI","swapped",1,1,1366,768,780,"AC1805_N",39,9,5,33,26,10,22,17,16,8,3,46,8,698,"2019-12-18 13:02:54",1,0,43,43,1,101,1,1,1,1,2,101,2,4,3,5,6,6,7,3,52,6,4,6,5,9,2,7,9,6,6,9,1,6,4,8,6,1,1,1,2,1,1,1,1,1,1,1,1,12,1,NA,3,NA,NA,21,35,25,37,NA,51,36,13,8,21,NA,"19","K",NA,NA,NA,NA,NA,NA,4,51,7,4,3,5,5,18,NA,NA,"Alltagssituationen > genaues Lesen","Nein","Deutschland","Deutschland",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,1,NA,1,NA,2,100,1,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","I","G",NA,"pc7",NA,NA,NA,NA,NA,NA,1
4720,"T2","interview","ger","2019-12-18 12:53:21",101,101,1,101,1,101,1,"GED","IGK","swapped",1,1,1366,768,780,"AC1805_N",20,14,9,76,36,7,24,13,24,24,6,42,12,826,"2019-12-18 13:07:07",1,0,43,43,1,101,1,1,1,17,2,29,2,69,6,9,8,9,17,2,86,7,4,10,6,11,2,3,9,5,7,4,3,8,3,3,4,4,1,1,2,1,1,1,1,1,1,1,1,13,1,NA,3,4,NA,10,19,28,39,NA,55,28,13,8,24,NA,"28","K",NA,NA,NA,NA,NA,NA,2,62,5,6,12,9,15,9,NA,NA,"Teilweise schwer zu verstehen",NA,"Deutschland","Kasachstan",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,2,101,101,NA,NA,NA,"1",NA,NA,NA,"Süßes",NA,NA,"1","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","I","G",NA,"pc6",NA,NA,NA,NA,NA,NA,1
4721,"T2","interview","ger","2019-12-18 12:53:26",NA,NA,1,NA,1,NA,2,"EDG","GIK","swapped",1,1,1366,768,780,"AC1805_N",18,7,6,49,18,5,22,10,12,14,7,89,11,870,"2019-12-18 13:07:56",1,0,43,43,2,NA,2,NA,2,NA,1,NA,1,NA,5,10,8,10,36,2,89,11,10,12,5,15,2,3,9,7,8,4,4,6,5,2,2,2,1,1,2,1,1,1,1,1,1,1,1,11,1,NA,2,4,NA,21,36,28,40,NA,51,42,12,13,21,NA,"23","I",NA,NA,NA,NA,NA,NA,5,67,6,6,7,5,7,22,NA,"Die Wahrnehmung derMenschen zu testen. ","positiv","nein","Deutschland","Russland",NA,NA,"binary",2,1,1,2,1,2,2,2,1,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,"1",NA,NA,NA,"Süßigkeit",NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","K","G",NA,"pc8",NA,NA,NA,NA,NA,NA,1
4724,"T2","interview","ger","2019-12-18 13:07:05",NA,NA,2,NA,2,NA,2,"DEG","GIK","normal",1,1,1366,768,780,"AC1805_N",46,55,10,51,20,5,11,12,13,14,18,32,9,720,"2019-12-18 13:19:05",1,0,43,43,1,NA,1,NA,2,NA,1,NA,1,NA,3,7,8,9,9,3,54,11,3,7,3,7,1,5,9,8,6,7,3,4,4,2,3,3,2,1,2,1,1,1,1,1,1,1,1,13,1,NA,2,4,NA,10,28,44,40,NA,30,26,15,4,16,NA,"24","G",NA,NA,NA,NA,NA,NA,3,43,5,5,7,5,7,12,NA,NA,"Gerne die Schrift größer machen",NA,"Deutschland","Deutschland",NA,NA,"binary",2,2,1,2,1,1,2,1,2,NA,1,1,1,1,2,2,NA,NA,NA,NA,NA,"1",NA,NA,NA,"Süßigkeiten",NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","K","I",NA,"pc4",NA,NA,NA,NA,NA,NA,1
4730,"T2","interview","ger","2019-12-18 13:15:17",NA,NA,2,NA,2,NA,2,"GDE","GKI","normal",1,1,1366,768,780,"AC1805_N",44,11,3,42,8,4,4,6,12,6,2,47,23,496,"2019-12-18 13:23:33",1,0,42,42,1,NA,1,NA,2,NA,1,NA,1,NA,3,4,4,9,5,2,33,4,4,6,3,20,2,2,9,9,9,9,1,3,1,1,2,4,2,1,2,1,1,1,1,1,1,1,1,13,1,NA,1,NA,NA,5,17,13,22,NA,35,17,13,7,NA,NA,"32","K",NA,NA,NA,NA,NA,NA,2,27,6,4,3,3,6,7,NA,"Wirklichkeitskonstruktion","Gut verständlich","Nein","Deutschland","Deutschland",NA,NA,"binary",2,2,1,1,2,1,2,1,1,NA,2,1,1,1,2,2,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","G","I",NA,"pc6",NA,NA,NA,NA,NA,NA,1
