"CASE","QUESTNNR","MODE","LANGUAGE","STARTED","VD02_01","VE02_01","VE03","VE04_01","VE05","VE06_01","VE07","Name_order","Condition_order","Binary_label_balance","CS02","DV01_FmF","DV01_ScW","DV01_ScH","DV01_QnW","lab_ID","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME_SUM","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","VD03","VD04_01","VD05","VD06_01","VD07","VG02_01","VG03","VG04_01","VG05","VG06_01","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","VG07","DF01_01","DF02_01","DF03_01","DF04_01","DF05_01","DF06_01","DF07_01","DF08_01","DF09_01","DF10_01","DF11_01","DD02","DD05","DD05_01","DD05_02","DD05_03","DD05_04","DD05_05","DD05_06","DD05_07","DD05_08","DD05_09","DD06","SF01","RC01_01","RW01","RW02","RW02_01","TIME026","TIME035","TIME036","TIME037","TIME038","TIME039","TIME040","TIME041","TIME042","TIME043","DF12_01","DD01_01","Add_vignette_cond","XA01_01","XA02","XA03_01","XA04","XA05_01","XA06","TIME027","TIME028","TIME029","TIME030","TIME031","TIME032","TIME033","TIME034","TIME046","DF13_01","DF14_01","DF15_01","DD03_01","DD04_01","RW03","TIME044","Scale_type","VE08","VD08","VD09","VD10","VG08","VG09","VG10","VE09","VE10","XB01_01","XB07","XB02","XB08","XB04","XB09","XB06","XB03_01","XB05_01","DD02_03","DD05_09a","AD03_01","UR01_01","XA07","XA08","XA09","RW02_04","RW02_03","AD01","UR01_02","Normal_vs_expertise","XC01_01","XC02","XC03_01","XC04","XC05_01","XC06","AD04","AD06","AD07","AD08","AD09","AD10","AD11","AD12","AD13","AD14","AD15","AD16","AD17","AD18","AD19","AD20","AD21","AD22","TIME047","TIME045","AD23","AD24","AD25","AD26","AD27","RW02_02","Darrel_cond","Gerald_cond","Emma_cond","TIME048","REF","AD28_01","AD28_02","AD28_03","AD28_04","AD28_05","AD28_06","isCorrect"
568,"T2","interview","ger","2019-08-29 09:15:33",47,11,1,21,1,25,1,"GDE","KGI","normal",1,1,1707,960,780,"AUT_001",13,30,8,2093,7,4,2,2,1,2,4,2,5,388,"2019-08-29 09:58:22",1,0,43,43,1,49,1,36,1,51,1,45,1,30,2,2,2,1,2,4,3,2,2,2,2,7,1,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,1,1,1,1,1,1,17,1,NA,3,1,"1",3,25,6,13,8,21,105,138,23,23,"test - bitte löschen","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"test","test","test","asdf","asdf",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
575,"T2","interview","ger","2019-08-29 14:13:17",100,82,2,89,1,65,2,"GED","IKG","normal",1,1,1536,864,780,"AUT_001",2,2,2,1,2,2,1,2,1,2,2,1,2,102,"2019-08-29 14:15:00",1,0,40,40,2,85,2,90,2,79,2,29,1,92,2,2,2,2,2,1,2,1,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,5,5,4,5,29,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
602,"T2","interview","ger","2019-09-04 17:57:11",NA,NA,NA,NA,NA,NA,NA,"GDE","IKG","swapped",1,1,1366,768,780,"AUT_001",37,1034,4,15,19,3,2,3,2,2,4,1523385,NA,140,"2019-09-04 18:15:56",0,0,11,12,NA,NA,NA,NA,NA,72,1,87,2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
820,"T2","interview","ger","2019-09-16 23:59:41",NA,NA,NA,NA,NA,NA,NA,"GED","KIG","normal",1,1,1280,720,780,"AUT_001",5,13,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,"2019-09-17 00:00:08",0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
829,"T2","interview","ger","2019-09-17 14:06:08",89,86,1,89,1,77,1,"DGE","KIG","normal",1,1,1280,720,780,"AUT_001",5,5,6,42,4,6,18,14,37,5,3,40,4,356,"2019-09-17 14:12:04",1,0,40,40,1,78,1,83,1,75,1,98,1,84,4,27,7,12,4,2,34,3,4,4,7,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,4,8,5,6,6,14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
885,"T2","interview","ger","2019-09-20 09:32:11",59,NA,NA,NA,NA,NA,NA,"DGE","IGK","swapped",1,1,1536,864,780,"AUT_001",11,17,7,13,7,7,3,NA,NA,NA,NA,NA,NA,65,"2019-09-20 09:33:16",0,0,7,7,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
903,"T2","interview","ger","2019-09-21 17:29:43",1,1,1,100,1,1,2,"DGE","IKG","swapped",1,1,1366,768,780,"AUT_001",159,123,12,118,41,7,54,23,36,96,6,89,76,1249,"2019-09-21 17:54:59",1,0,40,40,2,101,2,1,2,101,1,100,1,1,11,16,9,11,8,3,89,12,7,6,11,22,1,1,9,8,9,9,1,9,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,13,1,NA,NA,NA,NA,16,56,53,91,167,52,36,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Die persönliche Einschätzung von Entscheidungen und Meinungen anderer Personen ","Gut zu verstehen, gut erklärt",NA,"Österreich ","Österreich ",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
913,"T2","interview","ger","2019-09-21 18:12:00",1,1,1,91,2,1,2,"EDG","KIG","normal",1,1,1280,720,780,"AUT_001",18,19,7,60,18,9,32,8,12,10,3,47,10,747,"2019-09-21 18:24:27",1,0,40,40,2,101,2,1,2,101,1,101,1,3,9,6,8,10,15,4,95,14,4,6,6,10,2,3,8,6,7,3,4,4,4,1,7,4,1,1,2,1,1,1,1,1,1,1,1,12,1,NA,NA,NA,NA,10,34,28,53,121,43,18,NA,NA,NA,"nein","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sprachgebrauch, Verständnis von Sprache, Gefühle; weiß man etwas wenn man richtig ist oder kann man nur glauben, dass etwas richtig ist. Kann man etwas wissen wenn man eigentlich falsch liegt. ","neutral... ","nein ","Österreich ","Österreich ",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
914,"T2","interview","ger","2019-09-21 18:14:42",34,1,2,101,2,101,1,"GED","KIG","swapped",1,1,1280,720,780,"AUT_001",22,39,6,66,39,12,13,9,14,8,4,83,13,792,"2019-09-21 18:27:54",1,0,40,40,1,101,1,101,1,10,2,101,2,1,6,5,7,6,18,3,42,11,5,9,8,16,2,3,9,4,8,4,2,7,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,12,1,NA,NA,NA,NA,9,30,24,38,187,31,9,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"das Leseverständnis wurde getestet ",NA,"Nein","Österreich","Österreich",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
918,"T2","interview","ger","2019-09-21 18:57:54",1,1,2,66,2,1,2,"GED","GIK","swapped",1,1,1920,1080,780,"AUT_001",17,39,5,49,17,5,48,8,17,31,18,57,17,666,"2019-09-21 19:09:00",1,0,40,40,1,101,1,99,2,101,1,26,1,1,5,19,6,15,10,2,36,10,3,21,5,14,2,2,9,7,8,9,9,8,7,8,6,1,1,1,2,1,1,1,1,1,1,1,1,12,1,NA,NA,NA,NA,8,28,29,41,38,31,17,NA,NA,NA,NA,"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"war mal etwas Neues","nein","Österreich","Österreich",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
