"CASE","QUESTNNR","MODE","LANGUAGE","STARTED","VD02_01","VE02_01","VE03","VE04_01","VE05","VE06_01","VE07","Name_order","Condition_order","Binary_label_balance","CS02","DV01_FmF","DV01_ScW","DV01_ScH","DV01_QnW","lab_ID","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME_SUM","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","VD03","VD04_01","VD05","VD06_01","VD07","VG02_01","VG03","VG04_01","VG05","VG06_01","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","VG07","DF01_01","DF02_01","DF03_01","DF04_01","DF05_01","DF06_01","DF07_01","DF08_01","DF09_01","DF10_01","DF11_01","DD02","DD05","DD05_01","DD05_02","DD05_03","DD05_04","DD05_05","DD05_06","DD05_07","DD05_08","DD05_09","DD06","SF01","RC01_01","RW01","RW02","RW02_01","TIME026","TIME035","TIME036","TIME037","TIME038","TIME039","TIME040","TIME041","TIME042","TIME043","DF12_01","DD01_01","Add_vignette_cond","XA01_01","XA02","XA03_01","XA04","XA05_01","XA06","TIME027","TIME028","TIME029","TIME030","TIME031","TIME032","TIME033","TIME034","TIME046","DF13_01","DF14_01","DF15_01","DD03_01","DD04_01","RW03","TIME044","Scale_type","VE08","VD08","VD09","VD10","VG08","VG09","VG10","VE09","VE10","XB01_01","XB07","XB02","XB08","XB04","XB09","XB06","XB03_01","XB05_01","DD02_03","DD05_09a","AD03_01","UR01_01","XA07","XA08","XA09","RW02_04","RW02_03","AD01","UR01_02","Normal_vs_expertise","XC01_01","XC02","XC03_01","XC04","XC05_01","XC06","AD04","AD06","AD07","AD08","AD09","AD10","AD11","AD12","AD13","AD14","AD15","AD16","AD17","AD18","AD19","AD20","AD21","AD22","TIME047","TIME045","AD23","AD24","AD25","AD26","AD27","RW02_02","Darrel_cond","Gerald_cond","Emma_cond","TIME048","REF","AD28_01","AD28_02","AD28_03","AD28_04","AD28_05","AD28_06","isCorrect"
1111,"T2","interview","eng","2019-09-25 20:13:38",1,101,1,101,1,1,1,"DEG","GKI","normal",1,1,1920,1080,780,"USA_153",2,4,13,3,5,5,7,9,5,7,2,47,6,350,"2019-09-25 20:19:28",1,0,41,41,1,101,1,101,2,35,2,64,2,30,4,4,3,5,5,1,56,17,4,7,10,5,2,3,5,7,7,9,1,1,9,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,NA,1,NA,NA,5,22,15,21,8,26,6,11,NA,NA,"TEST","TEST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEST","TEST","TEST","TEST","TEST",2,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1112,"T2","interview","eng","2019-09-25 20:14:22",81,1,1,64,1,76,2,"EGD","GKI","swapped",1,1,1920,1080,780,"USA_153",3,4,8,48,7,8,9,10,7,20,7,38,5,572,"2019-09-25 20:23:55",1,0,44,44,1,101,1,3,1,94,1,77,1,12,6,4,5,7,31,2,3,4,4,7,4,6,1,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,1,1,1,1,1,1,13,1,NA,3,NA,NA,6,26,13,38,73,86,29,18,11,NA,"TEST","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"To understand how {Category:} perceive knowing and being lucky. ","what.","I have not.","TEST","TEST",1,15,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1113,"T2","interview","eng","2019-09-25 20:14:59",35,13,1,101,1,101,2,"DGE","KIG","swapped",1,1,1920,1080,780,"USA_153",4,4,3,32,14,6,10,6,16,12,2,89,9,499,"2019-09-25 20:23:19",1,0,44,44,1,100,1,52,2,1,2,101,2,36,4,6,3,13,11,2,25,9,4,7,8,7,2,1,9,9,9,9,1,2,2,5,5,5,1,1,2,1,1,1,1,1,1,1,1,14,1,NA,1,NA,NA,6,19,46,30,15,28,17,22,NA,NA,"THIS IS A TEST","TEST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THIS IS A TEST","THIS IS A TEST","THIS IS A TEST","TEST","TEST",1,10,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1114,"T2","interview","eng","2019-09-25 20:17:57",1,1,2,101,2,2,2,"GED","GIK","normal",1,1,1920,1080,780,"USA_153",10,5,6,74,37,6,8,6,12,26,5,44,7,682,"2019-09-25 20:29:19",1,0,42,42,1,101,1,101,2,1,1,101,1,101,4,9,4,11,12,5,5,5,4,5,4,10,1,1,9,9,9,9,1,7,9,1,1,2,1,1,2,1,1,1,1,1,1,1,1,16,1,NA,3,NA,NA,7,30,25,219,15,21,17,15,9,NA,"Test","Test",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test","Test","Test","Test","Test",2,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1160,"T2","interview","eng","2019-09-30 22:31:40",53,NA,NA,NA,NA,NA,NA,"DGE","GIK","swapped",1,1,1366,768,780,"USA_153",715,53,3,2,47,103,78,53,95,14,NA,NA,NA,168,"2019-09-30 22:51:03",0,0,10,10,2,51,1,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1201,"T2","interview","eng","2019-10-09 07:48:51",NA,NA,NA,NA,NA,NA,NA,"DGE","KGI","swapped",1,1,1280,720,780,"USA_153",2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"2019-10-09 07:48:57",0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377,"T2","interview","eng","2019-10-16 20:04:15",NA,NA,NA,NA,NA,NA,NA,"GDE","KIG","normal",1,1,1920,1080,780,"USA_153",13,13,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,"2019-10-16 20:04:54",0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379,"T2","interview","eng","2019-10-16 20:05:24",89,7,1,96,1,93,2,"GED","IKG","normal",1,1,1920,1080,780,"USA_153",6,3,2,58,15,5,12,4,5,7,1,63,10,646,"2019-10-16 20:16:10",1,0,45,45,1,101,1,1,1,11,2,96,1,8,3,9,5,5,16,3,126,3,2,3,3,3,2,1,9,9,9,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,17,1,NA,3,4,NA,3,32,30,18,NA,NA,NA,19,46,57,"good job","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"idk","idk","no","united states of america","united states of america",2,54,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"services and goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1393,"T2","interview","eng","2019-10-16 20:37:14",41,19,2,83,1,78,2,"GED","KIG","normal",1,1,1440,900,780,"USA_153",5,5,3,36,10,4,11,5,9,16,8,18,7,306,"2019-10-16 20:42:55",1,0,44,44,1,40,2,84,2,73,1,99,1,19,4,4,6,13,4,37,9,2,4,2,2,3,2,3,9,9,3,4,3,4,1,6,2,3,2,1,1,1,1,1,2,1,1,1,1,14,1,NA,1,NA,NA,4,12,13,20,NA,NA,NA,24,18,14,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Measure ability vs. inability ","Seemd valid",NA,"United States","India",2,9,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1397,"T2","interview","eng","2019-10-16 20:50:59",65,38,1,71,1,80,1,"GED","IGK","swapped",1,1,1366,768,780,"USA_153",8,8,19,43,44,6,8,11,15,21,5,47,14,616,"2019-10-16 21:10:19",1,0,45,45,1,82,1,38,2,60,2,97,2,27,5,10,4,13,8,4,53,11,4,5,4,7,1,3,7,4,7,7,3,6,4,2,4,3,1,1,1,1,2,1,1,1,1,1,1,14,1,NA,3,NA,NA,10,35,24,287,NA,NA,NA,55,67,37,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It left me intrigued on what the study is about ","no","United States","united states ",2,259,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
