"","id","lang","purpose"
"1","s589","eng","I think that it might have been identifying how word choice and perspective can change an individual's interpretation of a scenario. "
"2","s590","eng","To see how people perceive what (or who) is right/wrong"
"3","s591","eng","I think the purpose of this study is to determine the factors that influence cognitive decision making. "
"4","s592","eng","Whether or not people truly know something or if they just believe they know something."
"5","s593","eng","To look for the effects of language on perception of various situations. "
"6","s594","eng","To understand how we perceive the correctness of assumptions when under unknown factors"
"7","s596","eng","I feel like the purpose of this study is to discover what people know about their knowledge and their beliefs."
"8","s597","eng","To see what people believe is true/real."
"9","s598","eng","It is interesting how people could react deepening of the situation. "
"10","s609","eng","To see how different people look at the same scenario in different ways"
"11","s610","eng","I think that the purpose of this study is to understand people's knowledge and thoughts on whether something is a belief or a fact. "
"12","s620","eng","To see the perception of the people participating in the study on whether or not another person's perception is believable or not. "
"13","s621","eng","To determine how humans perceive real from fake?"
"14","s622","eng","I think that the purpose of this study was to explore the way that we apply different words with different connations to the same situation. "
"15","s636","eng","I honestly have no clue. My gut tells me it has something to do with if we believe or know what the people in the readings feel one way or another, or the study has something to do with us reading the passages and then based on those passages how we answer these questions in terms of unconfident (believes) or confident (knows) to see if the ideas in our minds carry on after the study has supposedly ended."
"16","s660","eng","I think the purpose of this study was to see what people thought about a store they read about someone else. This helps the researchers see what people think about other people situations."
"17","s661","eng","I think the purpose of this study is to figure out what people think that other people are aware of."
"18","s663","eng","I think the purpose of this study is to study the difference between knowing something or only believing something is true and whether or not it's true because you know it is or it turns out to be true by luck."
"19","s664","eng","I think this study deals with the perspectives of individuals in a given situation in which the main characters may or may not have full information on the matter. The study, however, wants to see our perspective on the matter since we have all of the information. "
"20","s666","eng","I think it was to see if people realize that just because they think it is the correct answer, it may not necessarily the correct or right answer. "
"21","s668","eng","To see how responses change based on the circumstances of a situation."
"22","s669","eng","jjjj"
"23","s680","eng","To show the difference between beliefs and knowledge."
"24","s683","eng","I think the purpose of this study was to see how different people interpret situations."
"25","s686","eng","I believe the purpose of the study is to assess how people perceive situations; reality and being confident vs. not knowing the truth or being deceived. "
"26","s688","eng","i have no idea."
"27","s690","eng","To help understand the knowledge vs guessing of humans"
"28","s696","eng","I do not have a good idea of what the purpose is."
"29","s697","eng","I believe the purpose of this study is to help understand what an outsider thinks when they know the whole situation, as though it seems the people ""only believe"" the majority of the time, I said the characters in the story ""knew"" what they saw because in their mind, they did know, even if it was wrong."
"30","s700","eng","Well I thought that it was about ""knowing"" vs. ""believing,"" but half of the questions are now about how I felt and what I think the purpose is, so now I don't think it has anything to do with those first questions and instead, it's something tricky about how we took the study. But I don't actually know for certain what the study is about."
"31","s702","eng","I do not know"
"32","s716","eng","I think the purpose was to see how we can undestand the situation if a person is right oe wrong."
"33","s717","eng","judging the variables that make people believe something vs. what makes people know something "
"34","s718","eng","To see what participants believe is ideas based on facts or theory."
"35","s725","eng","To establish peoples perception of reality.  "
"36","s726","eng","I think that the purpose of this study was to analyze the reactions or beliefs that individuals make when faced or told of a certain situation. "
"37","s727","eng","I think the purpose of this study was to tell how well I was paying attention to the paragraphs and how I would react to strangely worded questions"
"38","s729","eng","How well people can answer questions based off of their short term memory. See how well people can deconstruct a few paragraphs. "
"39","s730","eng","I think that the purpose may involve how our brains try to  evaluate situations based on very little background."
"40","s731","eng","To see how the reader feels towards the person talked about."
"41","s732","eng","To question and test the boundaries of what people think they know, and what they actually know for a fact."
"42","s737","eng","I think the purpose of this study was to test how well I paid attention to the paragraph without knowing what the questions would be, then how well I would answer strangely worded questions"
"43","s739","eng","i have no idea"
"44","s740","eng","I am really not sure."
"45","s742","eng","I dont know what the purpose of this study is"
"46","s743","eng","I am not sure."
"47","s746","eng","logical reasoning"
"48","s757","eng","To figure out what people really think they know and how confident they are in what they think they know, even though the possibility to be wrong is always present."
"49","s760","eng","I believe the purpose of this study is to show people that there are many things that people believe 
are true, but in reality aren't and vice versa. This study could also have the purpose of examining people to see if they themselves are able to understand the difference between something that is believed to be true and something that is actually true."
"50","s761","eng","I believe the purpose of this study was to show people that you can't always trust what you believe."
"51","s762","eng","The purpose may have been to test the recall of the story as well as the beliefs that people have towards certain things. "
"52","s763","eng","Knowledge about beliefs."
"53","s772","eng","I believe the purpose was to determine how easily we attribute wrong answers to situational versus dispositional occurrences."
"54","s773","eng","the purpose was to determine how we judge {Category:} based on their awareness of their knowledge."
"55","s776","eng","I think the purpose of this study was to see what {Category:} think others are aware of."
"56","s795","eng","To see how {Category:} perceive and belief things "
"57","s796","eng","I think this study is focusing on the perspective of individuals in the fictional scenarios, as well as our perspective in being the all-knowing reader. Due to the fact that the reader has all of the information from the story, it is easy to see the explanations behind the choices and thinking made by each character in the different scenarios. I think the idea in understanding all sides of one's perspectives would limit the disagreements in today's world. For instance, the story with the father and son driving through the tornado town. The father thought he was pointing at a real house, but it was in fact a fake house. Since it was evident to the reader that he was unaware of the recent tornado that had ripped through the town, it is easy to understand his belief. If the reader did not know this information, it could be highly likely that they think the father is not very intelligent because he can't tell the difference between a fake and real house. The study is all about gaining every angle on someone's belief, before making judgement upon them."
"58","s797","eng",".."
"59","s815","eng","To examine the general public's response to the reasons {Category:} get certain things right or wrong."
"60","s818","eng","Not sure, test {Category:}'s comprehension of language maybe"
"61","s819","eng","to find out if {Category:} actually paid attention "
"62","s822","eng","To test {Category:} ability to judge others based on the information given, "
"63","s840","eng","To understand our opinions on other {Category:}'s knowledge, and compare them. "
"64","s841","eng","To study how an individual judges the actions, motivations, beliefs of others."
"65","s845","eng","to show how {Category:} percieve different things"
"66","s849","eng","I think the purpose of this study was to compare and contrast knowledge to assumptions."
"67","s862","eng","I think the study was bringing into question whether we truly know things, or if we only believe them to be true based on the evidence provided to us. "
"68","s863","eng","To see how {Category:} perceive different things from an outside perspective"
"69","s867","eng","Not sure "
"70","s875","eng","reading comprehension"
"71","s876","eng","I think the purpose of this study was to take a deeper look into what {Category:} think they know or believe about something upon first glance. "
"72","s877","eng","to see how {Category:} form perceptions"
"73","s883","eng","I felt the purpose was to determine how others judge others when knowledge of a situation is given to them about the others."
"74","s902","eng","I think the purpose of this study was to interpret our perspective on other's ability to perceive common knowledge"
"75","s903","ger","Die persönliche Einschätzung von Entscheidungen und Meinungen anderer Personen "
"76","s913","ger","Sprachgebrauch, Verständnis von Sprache, Gefühle; weiß man etwas wenn man richtig ist oder kann man nur glauben, dass etwas richtig ist. Kann man etwas wissen wenn man eigentlich falsch liegt. "
"77","s914","ger","das Leseverständnis wurde getestet "
"78","s920","ger","Inwieweit lassen sich Probanden, ihre Meinung, durch nicht bewiesenen Fakten beeinflussen."
"79","s923","ger","Ob eine Person etwas für sich als Wissen bezeichnen kann, obwohl dieses objektiv falsch ist. "
"80","s927","ger","Testung der Selbstsicherheit von Menschen
Leseverständnis?"
"81","s928","ger","thematisiert wissen, glauben und hinterfragen auf basis der wahrnehmung, ähnlich zu testimony von alvin goldman"
"82","s933","ger","Eventuell herauszufinden, wie unterschiedlich Menschen die Realität wahrnehmen können."
"83","s940","eng","To study how perceptive {Category:} really are and if what they see is a reality."
"84","s941","eng","To see how {Category:} think about other {Category:}'s knowledge on certain things?"
"85","s942","eng","I think this study was to see the outside perception of situations"
"86","s943","eng","To see if {Category:} are able to understand the context they are reading. To also understand what characters in a story believe."
"87","s959","ger","Unterschied zwischen etwas glauben und etwas wissen zu erkennen. "
"88","s963","ger","Bin sehr gespannt, habe wirklich keine Idee"
"89","s967","ger","weiß man etwas oder glaubt man nur etwas zu wissen"
"90","s976","ger","Analyse wie Menschen bestimmte Texte auffassen? bzw wie Menschen etwas selbst in sachliche Texte hineininterpretieren?"
"91","s981","ger","Auffassung & Definition von Wahrheit"
"92","s989","ger","Das Verstehen von Texten, der Sprache"
"93","s990","ger","Nicht sicher aber Annahmen und Warheiten"
"94","s996","ger","Ich glaube, dass der Sinn der Studie darin liegt, das Bewusstsein über die Bedeutungen der Formulierungen ""glauben"" und ""wissen"" zu definieren."
"95","s1000","eng","Testing how {Category:} view beliefs and what they are"
"96","s1013","ger","Lesekompetenzen"
"97","s1016","eng","NA"
"98","s1017","eng","To get feedback on experimental information."
"99","s1018","eng","To understand the extent to which {Category:} are paying attention to the scenarios"
"100","s1019","eng","To determine how our perception of reality can be right or wrong and how the circumstances surrounding what we perceive affect our perception"
"101","s1020","eng","The questions that were asked about the individuals taking the survey instead of the responses to the scenarios. "
"102","s1026","eng","maybe to see how a questioner effect confidence "
"103","s1038","ger","Keine Ahnung"
"104","s1042","ger","Erfassung verschiedener Auffassungen und Interpretierungen von Situation"
"105","s1043","eng","I think the purpose of this study was to evaluate the psychological processes associated with perception by testing situational variables. "
"106","s1045","eng","i have no idea"
"107","s1046","ger","keine Ahnung"
"108","s1047","eng","To see if there is an ability to see what is real and what is not. "
"109","s1050","eng","the purpose was to determine differences between knowing and believing  "
"110","s1052","eng","To see {Category:}'s opinions on others beliefs in difficult scenarios. "
"111","s1055","eng","How {Category:} perceive reality. That's my best guess.  "
"112","s1058","eng","What knowledge we have about beliefs"
"113","s1059","eng","to see if {Category:} pay attention to details when they read."
"114","s1060","eng","I think the purpose of the study was to see how much {Category:} trust their instincts."
"115","s1062","eng","To see if readers can remember the details of what they read."
"116","s1063","eng","To see what readers remember."
"117","s1066","eng","When we know the full situation, but another person doesn't do we think they are right or wrong in their beliefs/choices in the situation."
"118","s1071","ger","Verständnis für sprachlichen Ausdruck"
"119","s1079","ger","über die Relevanz subjektiver Sichtweisen und deren Wechselwirkung"
"120","s1086","ger","Unterschied etwas zu glauben oder davon überzeugt zu sein es zu wissen"
"121","s1087","ger","Untersuchung der wahrgenommenen Wahrscheinlichkeit von Ereignissen aufgrund von gegebenen/nicht gegebenen Informationen zur Situation bzw. den Personen"
"122","s1092","eng","To see how {Category:} feel when someone doesn't have all the facts, but assumes they are correct."
"123","s1094","eng","To see if {Category:} are driven by ability/inability or luck."
"124","s1095","eng","To see how we interpret certain scenarios in our minds. "
"125","s1096","eng","i have no idea "
"126","s1100","eng","To see how quickly {Category:} adjust to patterns"
"127","s1105","ger","Denkmuster von Menschen. Wie voreingenommen sind wir von unserer subjektiven Wahrnehmung."
"128","s1109","eng","I think it had to do with {Category:} not knowing the full story and making decisions based on assumptions "
"129","s1112","eng","To understand how {Category:} perceive knowing and being lucky. "
"130","s1113","eng","THIS IS A TEST"
"131","s1117","pol","nie mam"
"132","s1119","ger","Was wird als absolute Aussage interpretiert?"
"133","s1120","eng","To determine how {Category:} think differently of believing and knowing."
"134","s1134","eng","To see what something thinks of others thoughts"
"135","s1136","eng","Not sure "
"136","s1148","pol","k"
"137","s1155","ger","Tieferes Verständnis erzeugen. "
"138","s1162","pol","nj"
"139","s1174","ger","Verhaltensforschung"
"140","s1219","nor","Tset"
"141","s1249","ger","Vielleicht die Lesekonzentration oder das Leseverständnis zu untersuchen

Oder die Art und Weise wie man das gelesene und die Fragen auffasst."
"142","s1250","ger","Die Wahrnehmung bei allgemein formulierten ""Geschichten"" des Menschens zu erheben."
"143","s1253","ger","Das Sprachverständnis und Textverständnis zu überprüfen."
"144","s1256","ger","Wahrnehmung (subjektiv)"
"145","s1261","ger","Subjektives Bewerten von Situationen"
"146","s1272","ger","x"
"147","s1275","ger","sind die Einschätzung eines Objekts vermutungen oder wissen wir es wirklich"
"148","s1285","ger","Unterscheidung zwischen Schein und Wirklichkeit"
"149","s1299","ger","Sich in andere hineinzuversetzen "
"150","s1300","ger","Sprache verstehen bzw. interpretieren"
"151","s1302","ger","Der Zweck war vielleicht, das richtige Lesen von Texten, Gedächtnisleistung und Einschätzen von Motiven der Personen und deren Glaubhaftigkeit (bzw. wie sicher die Protagonisten mit ihren Aussagen waren)."
"152","s1303","ger","Festzustellen, wie verschiedene Menschen verschiedene Situationen einschätzen oder wahrnehmen"
"153","s1306","ger","Um zu sehen wie man getäuscht wird ohne es zu wissen"
"154","s1311","ger","Sprache und Verständnis des Ausdruck beim Empfänger einer Botschaft untersuchen,"
"155","s1313","ger","Da ich davon ausgehe, dass es sich um eine psychologische Studie handelt, dann würde ich sagen, dass es sich um eine Art Erfassung bzgl. der Wahrnehmung handelt. Also vermute ich, dass es sich um eine phänomenologische Studie handelt, deren Zweck das Erfassen verschiedener Wahrnehmungsstrukturen ist. "
"156","s1321","ger","wohl keine eichhörnchenstudie"
"157","s1324","ger","Leseverständnis überprüfen, verschiedene Perspektiven wahrnehmen"
"158","s1336","ger","Konzentration zu messen"
"159","s1340","pol","jo"
"160","s1344","pol","nk"
"161","s1352","pol","sa"
"162","s1354","ger","wie Sprache Wissen beeinflusst"
"163","s1357","pol","jn"
"164","s1363","ger","?"
"165","s1373","ger","ich glaube, dass es bei der Studie um das Auffassen von Texten geht, die komplexer sind und auch verschieden gedeutet werden können. "
"166","s1379","eng","idk"
"167","s1393","eng","Measure ability vs. inability "
"168","s1400","eng","To determine luck versus knowledge."
"169","s1420","eng","To understand the way {Category:} think and process vague scenarios. "
"170","s1424","pol","tedsdt"
"171","s1447","eng","Maybe how well {Category:} retain information."
"172","s1450","eng","to see how different {Category:} perceive different scenarios "
"173","s1451","eng","To see how well your mind remembers things "
"174","s1452","eng","To retrieve information about the objective mind.  Dialectical thought. Are individuals able to consider the unknown/contrast of an event. If they know is it by chance or by observation."
"175","s1465","eng","I think the purpose of this study is how students respond to the questions based on the scenarios and to measure how their answers vary throughout the survey. "
"176","s1475","eng","H pay how well {Category:} pay attetion"
"177","s1477","eng","Something to do with individuals' perceptions of ability, knowledge and luck."
