"CASE","QUESTNNR","MODE","LANGUAGE","STARTED","VD02_01","VE02_01","VE03","VE04_01","VE05","VE06_01","VE07","Name_order","Condition_order","Binary_label_balance","CS02","DV01_FmF","DV01_ScW","DV01_ScH","DV01_QnW","lab_ID","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME_SUM","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","VD03","VD04_01","VD05","VD06_01","VD07","VG02_01","VG03","VG04_01","VG05","VG06_01","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","VG07","DF01_01","DF02_01","DF03_01","DF04_01","DF05_01","DF06_01","DF07_01","DF08_01","DF09_01","DF10_01","DF11_01","DD02","DD05","DD05_01","DD05_02","DD05_03","DD05_04","DD05_05","DD05_06","DD05_07","DD05_08","DD05_09","DD06","SF01","RC01_01","RW01","RW02","RW02_01","TIME026","TIME035","TIME036","TIME037","TIME038","TIME039","TIME040","TIME041","TIME042","TIME043","DF12_01","DD01_01","Add_vignette_cond","XA01_01","XA02","XA03_01","XA04","XA05_01","XA06","TIME027","TIME028","TIME029","TIME030","TIME031","TIME032","TIME033","TIME034","TIME046","DF13_01","DF14_01","DF15_01","DD03_01","DD04_01","RW03","TIME044","Scale_type","VE08","VD08","VD09","VD10","VG08","VG09","VG10","VE09","VE10","XB01_01","XB07","XB02","XB08","XB04","XB09","XB06","XB03_01","XB05_01","DD02_03","DD05_09a","AD03_01","UR01_01","XA07","XA08","XA09","RW02_04","RW02_03","AD01","UR01_02","Normal_vs_expertise","XC01_01","XC02","XC03_01","XC04","XC05_01","XC06","AD04","AD06","AD07","AD08","AD09","AD10","AD11","AD12","AD13","AD14","AD15","AD16","AD17","AD18","AD19","AD20","AD21","AD22","TIME047","TIME045","AD23","AD24","AD25","AD26","AD27","RW02_02","Darrel_cond","Gerald_cond","Emma_cond","TIME048","REF","AD28_01","AD28_02","AD28_03","AD28_04","AD28_05","AD28_06","isCorrect"
3443,"T2","interview","ger","2019-12-10 19:50:22",NA,NA,2,NA,2,NA,2,"GDE","IKG","normal",1,1,1408,792,780,"AC1805",3,4,2,3,3,3,3,2,3,3,1,2,2,148,"2019-12-10 19:52:50",0,0,43,43,2,NA,2,NA,2,NA,1,NA,1,NA,3,2,2,4,2,2,1,3,2,2,3,2,2,NA,NA,NA,9,NA,NA,NA,6,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,NA,4,NA,3,1,"w",2,7,7,9,NA,8,6,8,10,10,"TEST",NA,"K",NA,NA,NA,NA,NA,NA,2,2,2,3,2,3,2,3,NA,"TEST",NA,NA,NA,NA,2,NA,"binary",1,2,1,1,1,1,1,2,1,NA,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","I","G",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
3444,"T2","interview","ger","2019-12-10 20:02:53",NA,NA,2,NA,1,NA,2,"EDG","IKG","normal",1,1,1408,792,780,"AC1805",2,4,2,1,3,2,2,2,2,3,1,2,3,133,"2019-12-10 20:05:06",1,0,43,43,2,NA,1,NA,2,NA,2,NA,2,NA,2,2,2,3,2,2,2,2,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,3,1,"2",2,7,5,10,NA,7,7,5,5,12,"TEST",NA,"K",NA,NA,NA,NA,NA,NA,2,1,3,2,3,2,2,2,NA,"TEST",NA,NA,NA,NA,NA,NA,"binary",1,1,2,1,2,1,2,1,2,NA,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","G","I",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
3445,"T2","admin","ger","2019-12-10 20:44:28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1320,825,780,"AC1805",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,"2019-12-10 20:47:17",1,0,47,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3502,"T2","interview","ger","2019-12-11 11:03:46",101,1,1,100,1,101,2,"DGE","KIG","normal",1,1,1366,768,780,"AC1805",1896,5,7,47,19,4,8,5,19,19,4,66,10,699,"2019-12-11 11:46:45",1,0,42,42,1,101,1,10,2,1,2,101,2,2,4,8,4,11,12,4,43,11,5,11,4,9,2,3,9,7,9,9,2,1,3,2,2,9,2,1,2,1,1,1,1,1,1,1,1,12,1,NA,1,NA,NA,16,26,28,44,NA,52,25,13,5,NA,NA,"29","K",NA,NA,NA,NA,NA,NA,3,79,9,5,11,7,9,12,NA,"-Umgang mit Sprache ","Gut","nein","deutschland","Deutschland",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,2,101,1,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","I","G",NA,"pc6",NA,NA,NA,NA,NA,NA,FALSE
3503,"T2","interview","ger","2019-12-11 11:03:49",19,25,1,74,1,14,2,"EGD","GKI","swapped",1,1,1366,768,780,"AC1805",1788,7,6,41,41,8,14,12,34,14,3,71,13,737,"2019-12-11 11:45:40",1,0,43,43,2,80,2,23,2,37,1,33,1,27,5,8,6,10,11,6,69,7,4,9,5,10,2,3,9,6,9,7,2,4,3,4,6,9,1,1,2,1,1,1,1,1,1,1,1,12,1,NA,3,4,NA,8,27,31,45,NA,42,28,9,8,36,NA,"23","I",NA,NA,NA,NA,NA,NA,2,38,7,5,9,5,3,4,NA,"Ich bin mir nicht sicher","Gute Szenarien","Nein","Deutschland","Kasachstan",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,2,NA,2,NA,2,79,19,NA,NA,NA,"1",NA,NA,NA,"vielleicht etwas Süßes",NA,NA,"1","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","K","G",NA,"pc5",NA,NA,NA,NA,NA,NA,FALSE
3504,"T2","interview","ger","2019-12-11 11:03:55",NA,NA,1,NA,1,NA,2,"DGE","KIG","swapped",1,1,1366,768,780,"AC1805",1629,45,4,55,17,4,7,10,19,18,3,64,9,741,"2019-12-11 11:43:09",1,0,42,42,1,NA,1,NA,1,NA,2,NA,2,NA,9,5,7,10,18,1,30,8,3,21,5,5,2,3,8,6,8,8,3,3,5,2,6,2,2,1,2,1,1,1,1,1,1,1,1,13,1,NA,1,NA,NA,13,32,23,41,NA,104,20,9,6,NA,NA,"25","K",NA,NA,NA,NA,NA,NA,1,32,15,4,6,7,10,25,NA,"Ob Mann oder Frau Kompetenz zugeordnet werden, aufgrund der Optionen ""vorhandene Kenntnise"" oder ""glückliche Umstände""","Ganz nett, aber für meinen Geschmack zu kurz skizzierte Situationen","Nein","Deutschland","Deutschland",NA,NA,"binary",2,2,1,2,2,1,2,1,1,NA,2,1,1,1,2,2,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","I","G",NA,"pc4",NA,NA,NA,NA,NA,NA,FALSE
3505,"T2","interview","ger","2019-12-11 11:04:04",NA,NA,2,NA,2,NA,2,"EDG","KIG","normal",1,1,1366,768,780,"AC1805",549,14,5,20,15,10,9,6,8,15,3,37,5,582,"2019-12-11 11:22:39",1,0,43,43,2,NA,2,NA,2,NA,1,NA,1,NA,4,9,4,5,13,1,36,11,3,5,4,10,2,3,9,3,7,7,2,8,8,4,4,9,2,1,2,1,1,1,1,1,1,1,1,12,1,NA,2,4,NA,22,37,30,43,NA,84,19,7,4,14,NA,"23","I",NA,NA,NA,NA,NA,NA,2,25,4,3,4,4,4,8,NA,"Die Untersuchung von Sprache ist der Zweck der Studie.","Die Texte waren verständlich.","Nein.","Deutschland","Deutschland",NA,NA,"binary",2,2,1,1,2,1,1,2,2,NA,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Süßigkeit",NA,NA,"1","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","G","K",NA,"pc2",NA,NA,NA,NA,NA,NA,FALSE
3506,"T2","interview","ger","2019-12-11 11:04:06",13,51,1,97,1,46,1,"EDG","KIG","normal",1,1,1366,768,780,"AC1805",490,7,5,53,25,18,10,7,33,13,4,41,12,762,"2019-12-11 11:24:42",1,0,43,43,2,100,2,14,2,101,1,101,1,12,4,5,10,10,9,3,54,6,7,5,4,6,1,3,9,8,2,7,1,8,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,12,2,NA,3,4,NA,6,27,25,60,NA,82,44,12,6,29,NA,"23","I",NA,NA,NA,NA,NA,NA,3,56,5,6,5,5,10,14,NA,NA,"Texte sind wichtig","Nein","Deutschland","Deutschland",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,2,NA,2,NA,2,70,8,NA,"Zentralasien/Persisch",NA,"1",NA,NA,NA,"Eine Packung Süßes",NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","G","K",NA,"pc1",NA,NA,NA,NA,NA,NA,FALSE
3507,"T2","interview","ger","2019-12-11 11:04:29",NA,NA,1,NA,2,NA,2,"DEG","GKI","normal",1,1,1366,768,780,"AC1805",1370,50,9,81,19,8,15,12,46,15,6,41,12,889,"2019-12-11 11:41:52",1,0,43,43,1,NA,1,NA,2,NA,2,NA,2,NA,20,7,17,9,11,5,55,28,6,10,6,8,2,3,7,3,8,8,2,7,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,13,1,NA,2,4,NA,11,55,33,50,NA,57,29,11,8,18,NA,"52","G",NA,NA,NA,NA,NA,NA,5,43,9,5,7,6,17,13,NA,"Sprachverstehen",NA,"nein","Deutschland","Deutschland",NA,NA,"binary",2,2,1,2,2,1,2,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,"1",NA,NA,NA,"Süssigkeit",NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","I","K",NA,"pc3",NA,NA,NA,NA,NA,NA,FALSE
3514,"T2","interview","ger","2019-12-11 11:25:37",NA,NA,1,NA,1,NA,2,"GDE","IKG","swapped",1,1,1366,768,780,"AC1805",18,10,7,54,10,6,14,10,8,9,5,37,5,526,"2019-12-11 11:34:24",1,0,43,43,1,NA,1,NA,1,NA,2,NA,2,NA,3,4,4,13,7,4,28,5,7,10,4,5,2,2,9,7,6,9,2,9,3,1,2,4,2,1,2,1,1,1,1,1,1,1,1,11,1,NA,3,4,NA,5,33,19,23,NA,13,23,20,10,30,NA,"19","K",NA,NA,NA,NA,NA,NA,2,34,4,4,4,3,7,5,NA,NA,NA,NA,"Deutschland","Deutschland",NA,NA,"binary",2,1,1,2,2,1,2,1,1,NA,1,1,1,1,2,1,NA,NA,NA,NA,NA,"1",NA,NA,NA,"Eine Kleinigkeit",NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","I","G",NA,"pc2",NA,NA,NA,NA,NA,NA,FALSE
