"CASE","QUESTNNR","MODE","LANGUAGE","STARTED","VD02_01","VE02_01","VE03","VE04_01","VE05","VE06_01","VE07","Name_order","Condition_order","Binary_label_balance","CS02","DV01_FmF","DV01_ScW","DV01_ScH","DV01_QnW","lab_ID","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME_SUM","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","VD03","VD04_01","VD05","VD06_01","VD07","VG02_01","VG03","VG04_01","VG05","VG06_01","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","VG07","DF01_01","DF02_01","DF03_01","DF04_01","DF05_01","DF06_01","DF07_01","DF08_01","DF09_01","DF10_01","DF11_01","DD02","DD05","DD05_01","DD05_02","DD05_03","DD05_04","DD05_05","DD05_06","DD05_07","DD05_08","DD05_09","DD06","SF01","RC01_01","RW01","RW02","RW02_01","TIME026","TIME035","TIME036","TIME037","TIME038","TIME039","TIME040","TIME041","TIME042","TIME043","DF12_01","DD01_01","Add_vignette_cond","XA01_01","XA02","XA03_01","XA04","XA05_01","XA06","TIME027","TIME028","TIME029","TIME030","TIME031","TIME032","TIME033","TIME034","TIME046","DF13_01","DF14_01","DF15_01","DD03_01","DD04_01","RW03","TIME044","Scale_type","VE08","VD08","VD09","VD10","VG08","VG09","VG10","VE09","VE10","XB01_01","XB07","XB02","XB08","XB04","XB09","XB06","XB03_01","XB05_01","DD02_03","DD05_09a","AD03_01","UR01_01","XA07","XA08","XA09","RW02_04","RW02_03","AD01","UR01_02","Normal_vs_expertise","XC01_01","XC02","XC03_01","XC04","XC05_01","XC06","AD04","AD06","AD07","AD08","AD09","AD10","AD11","AD12","AD13","AD14","AD15","AD16","AD17","AD18","AD19","AD20","AD21","AD22","TIME047","TIME045","AD23","AD24","AD25","AD26","AD27","RW02_02","Darrel_cond","Gerald_cond","Emma_cond","TIME048","REF","AD28_01","AD28_02","AD28_03","AD28_04","AD28_05","AD28_06","isCorrect"
789,"T2","interview","hun","2019-09-16 03:11:34",89,77,2,88,2,87,2,"GED","KGI","swapped",1,1,1280,720,780,"HUN_001",4,4,2,3,3,4,6,3,12,3,2,2,2,89,"2019-09-16 03:13:03",0,0,26,26,1,74,1,89,1,87,2,95,2,96,4,3,3,3,4,2,1,6,2,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
790,"T2","interview","hun","2019-09-16 03:13:11",72,87,1,101,1,80,2,"GDE","IKG","normal",1,1,1280,720,780,"HUN_001",1,4,3,1,3,3,3,3,4,2,2,2,2,71,"2019-09-16 03:14:23",0,0,26,26,2,62,1,93,2,94,2,93,1,91,3,3,4,3,3,1,2,2,4,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
793,"T2","interview","hun","2019-09-16 04:03:33",99,91,1,96,2,101,2,"GED","IKG","swapped",1,1,1280,720,780,"HUN_001",2,6,2,3,4,2,3,2,3,3,2,2,3,147,"2019-09-16 04:08:53",0,0,39,39,1,94,2,95,2,90,2,88,1,88,4,5,2,3,6,2,2,3,3,4,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,5,197,8,8,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
830,"T2","interview","hun","2019-09-17 14:38:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1280,720,780,"HUN_001",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"2019-09-17 14:38:45",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1044,"T2","interview","hun","2019-09-23 18:45:03",NA,NA,NA,NA,NA,NA,NA,"GED","IGK","normal",1,1,1536,864,780,"HUN_001",105,6,6,16,4,9,9,4,NA,NA,NA,NA,NA,159,"2019-09-23 18:47:42",0,0,8,8,NA,NA,NA,NA,NA,72,1,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1069,"T2","interview","hun","2019-09-24 09:46:16",60,12,2,73,2,10,1,"EDG","KGI","normal",1,1,1920,1080,780,"HUN_001",272,16,11,3,16,7,5,3,3,3,80,4,1148,99,"2019-09-24 10:12:27",0,0,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1876,"T2","interview","hun","2019-10-25 12:39:52",47,62,2,51,2,63,2,"DEG","KIG","normal",1,1,1536,864,780,"HUN_001",526,4,2,2,40,141,3,10,73,792,2,1,3,285,"2019-10-25 13:27:37",1,0,42,42,2,63,1,61,2,67,1,29,2,36,2,11,2,3,5,6,3,2,4,2,2,3,2,7,6,3,7,7,3,7,5,4,7,4,2,1,2,1,1,1,1,1,1,1,1,17,1,NA,1,NA,NA,3,7,5,13,NA,423,744,20,6,NA,"élveztem!","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"haha","Magyarország",2,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1919,"T2","interview","hun","2019-10-28 10:35:46",85,99,1,100,2,79,2,"GED","KGI","swapped",1,1,1536,864,780,"HUN_001",3,5,2,1,3,5,2,2,3,2,2,1,3,140,"2019-10-28 10:38:06",0,0,40,40,1,89,1,101,2,88,1,70,1,89,2,2,3,2,3,2,3,2,3,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,45,6,6,NA,7,11,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
1920,"T2","interview","hun","2019-10-28 11:03:50",NA,NA,NA,NA,NA,NA,NA,"GED","GIK","swapped",1,1,1536,864,780,"HUN_001",224,56,25,21,59,24,34,28,25,26,23,35,NA,352,"2019-10-28 11:13:30",0,0,12,12,NA,NA,NA,NA,NA,72,2,90,2,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1921,"T2","interview","hun","2019-10-28 11:14:24",81,94,1,89,1,84,1,"DGE","IGK","normal",1,1,1696,954,780,"HUN_001",22,5,2,56,31,24,22,24,25,41,22,21,30,924,"2019-10-28 11:30:47",1,0,45,45,1,90,1,83,1,71,1,84,1,99,24,24,23,22,23,21,23,20,24,21,19,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,2,1,NA,21,41,28,52,NA,26,46,31,38,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,27,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
1983,"T2","interview","hun","2019-10-31 10:38:37",NA,NA,NA,NA,NA,NA,NA,"DEG","GIK","normal",2,1,1696,954,780,"HUN_001",26,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"2019-10-31 10:39:08",1,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,"T2","interview","hun","2019-10-31 10:39:15",94,97,2,86,1,89,2,"GDE","KGI","normal",1,1,1696,954,780,"HUN_001",1,5,1,2,3,2,2,3,2,2,2,1,3,191,"2019-10-31 10:42:26",1,0,43,43,2,86,1,88,2,89,2,72,1,76,2,2,4,3,2,2,1,3,2,4,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,3,1,"3",2,7,7,8,NA,9,32,6,54,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEST","TEST",NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1985,"T2","interview","hun","2019-10-31 10:47:28",83,80,1,97,1,92,1,"EDG","KIG","normal",1,1,1696,954,780,"HUN_001",27,35,21,20,26,24,25,22,22,23,22,19,25,791,"2019-10-31 11:01:15",1,0,43,43,1,96,1,88,1,77,1,93,1,100,22,21,22,19,20,19,20,23,21,20,18,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,3,1,"3",20,45,27,46,NA,32,27,26,22,24,"TEST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEST",NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
2110,"T2","interview","hun","2019-11-05 10:02:37",51,50,2,49,1,44,2,"DGE","GKI","normal",1,1,1536,864,780,"HUN_001",7,17,4,1,4,3,2,3,3,2,1,1,3,205,"2019-11-05 10:06:02",1,0,43,43,2,51,1,51,2,50,1,50,1,51,2,3,3,3,1,2,2,3,2,2,2,2,2,6,3,8,9,5,3,9,1,NA,NA,NA,2,1,2,1,1,1,1,1,1,1,1,17,1,NA,2,1,"0,5 kredit",2,11,16,17,NA,9,32,8,5,27,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magyarország","Magyarország",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
2965,"T2","interview","hun","2019-11-27 15:37:39",79,71,2,97,1,70,2,"DEG","KGI","normal",1,1,1408,792,780,"HUN_001",4,30,8,1,2,2,1,2,2,3,1,1,2,255,"2019-11-27 15:41:55",1,0,43,43,1,101,1,96,2,87,1,95,2,93,1,2,1,1,2,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,2,1,"tsgz",1,80,5,39,NA,7,5,4,31,5,"TEST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEST",NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","I","G",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
2966,"T2","interview","hun","2019-11-27 15:47:04",81,73,1,89,1,101,2,"DGE","IKG","swapped",1,1,1408,792,780,"HUN_001",2,3,2,1,2,2,2,3,1,3,1,1,2,86,"2019-11-27 15:48:30",1,0,43,43,2,74,2,87,1,84,1,84,1,93,2,2,2,2,2,1,1,2,3,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,3,1,"d",3,5,4,8,NA,5,4,3,4,3,"TEST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","K","G",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
3704,"T2","interview","hun","2019-12-12 08:38:16",1,1,1,101,1,101,2,"EDG","KIG","swapped",1,1,1440,900,780,"HUN_001",90,40,4,46,27,7,15,22,10,12,5,93,38,1032,"2019-12-12 08:56:11",1,0,43,43,2,101,2,101,1,88,1,101,1,83,5,7,12,50,15,5,80,28,4,7,5,22,2,2,7,3,9,9,3,3,2,2,4,1,1,1,2,1,1,1,1,1,1,1,1,15,1,NA,2,1,"2 kredit",6,44,22,103,NA,160,32,30,8,21,"Van benne pár helyesírási hiba, ami kicsit szemet szúr, amikor nagyon figyelünk a szövegre és az értelmező olvasásra. De nagyon klassz kísérlet volt.","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A nyelv vizsgálata, és a nyelv és a gondolkodás összefüggésének kutatása talán.","Nem voltak semmilyen hatással. Talán utána fogok járni a gyémánt és a cirkónium közötti különbségeknek.","Logopédiát tanulok, így az egyetemen már beszélgettünk párszor a nyelv és a gondolkodás összefüggéseiről.","Magyarország","Magyarország",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","G","K",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
3710,"T2","interview","hun","2019-12-12 09:03:53",1,101,1,101,1,101,1,"DEG","IKG","swapped",1,1,1440,900,780,"HUN_001",942,6,3,56,38,6,8,4,11,13,3,37,11,647,"2019-12-12 09:30:06",1,0,43,43,2,101,2,1,2,101,1,101,1,1,3,10,3,17,8,2,66,5,6,5,4,10,1,2,8,8,9,9,1,4,1,1,5,1,1,1,2,1,1,1,1,1,1,1,1,15,1,NA,2,4,NA,7,37,32,40,NA,72,23,21,6,58,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Talán  az, hogy felmérje, az emberek mennyire tudnak logikusan gondolkozni egy-egy olvasott szöveg kapcsán.","Azt éreztem, hogy minden szóra nagyon kell figyelnem.","Még nem.","Magyarország","Magyarország",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"Pontot a kurzus teljesítése érdekében.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","G","K",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
3869,"T2","interview","hun","2019-12-13 08:20:31",6,26,1,92,1,96,2,"GDE","KIG","swapped",1,1,1440,900,780,"HUN_001",911,38,5,50,21,5,8,6,14,12,4,55,10,767,"2019-12-13 08:49:29",1,0,43,43,2,88,2,95,2,70,1,92,1,69,4,6,5,7,14,5,37,17,4,9,9,9,2,3,9,8,7,9,2,3,2,1,3,2,2,1,2,1,1,1,1,1,1,1,1,17,1,NA,2,4,NA,12,32,24,59,NA,202,27,22,4,91,"Nincs","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Az, hogy miként befolyásolja egy ember véleményét a plusz információ. A szövegek első fele még szokványos volt, aztán a plusz információ más megvilágításba helyezte az olvasottakat.","Az első és második fordulatai kicsit megleptek, a harmadik kiszámítható volt.","Még nem.","Magyarország","Magyarország",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1 részpont a kurzus teljesítéséhez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","K","G",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
