"","lab_code","checked","notes","person_code","country","un_region","language","use","link_code","protocol_approved","data_collected","completed_crep_requirements","compensation","survey_platform","sampled_population","group_data","in_person","extensions","deviation_issues","deviation_documentation","program_comp","comp","unique_project","full_sample_size","final_sample_size"
"1","053396","Y",NA,"bfe85dfa8a47470e2600b4bae1dfe4c1","DEU","Western Europe","German","Yes","wr695","Yes","Yes","No","Money","SoSciSurvey","Undergraduates","No","No","Julie + experience",NA,NA,"both_questions","Yes","bfe85dfa8a47470e2600b4bae1dfe4c1wr695",210,51
"2","069afd","Y","Wiki says in person, unclear if all in person","04aec6c128a6d0c7b156124a782a2e17","USA","Northern America","English","Yes","tz37n","Yes","Yes","No","Course Credit","SoSciSurvey","Undergraduates","Unclear","Yes","Measurement extension","No","No","just_reward","Yes","04aec6c128a6d0c7b156124a782a2e17tz37n",387,167
"3","07cc8d","Y","Note: protocol approved under a different number","053921f004965238755a0b08414ad61f","CAN","Northern America","English","Yes","tbywc","Yes","Yes","No","Course Credit","SoSciSurvey","Undergraduates","No","No","Julie/expertise extension","Informed consent states, ""The purpose of this study is to examine participants’ assessment of what they think another person knows or believes""","https://osf.io/pz7mx/","just_reward","Yes","053921f004965238755a0b08414ad61ftbywc",551,160
"4","086a2b","Y",NA,"bfe85dfa8a47470e2600b4bae1dfe4c1","DEU","Western Europe","German","Yes","g7fp6","Yes","Yes","No","Sweets","SoSciSurvey","Undergraduates","No","Yes","Julie extension","We only changed the measure for the question ""Peter knows/only believes..."". The original measure was a binary question, we used a slide control with a scale from 1 to 100 to measure this question.","https://osf.io/be54a/wiki/home/","just_reward","Yes","bfe85dfa8a47470e2600b4bae1dfe4c1g7fp6",236,72
"5","098ad3","Y","Video shows in person but unclear if that's what happened","d547b0fe851b1f8786fce767e3d89f50","USA","Northern America","English","Yes","pgync","Yes","Yes","No","Course Credit","SoSciSurvey","Undergraduates","Unclear","Unclear","Julie/expertise extension","No","No","just_reward","Yes","d547b0fe851b1f8786fce767e3d89f50pgync",226,78
"6","0df1c5","Y",NA,"20e15d6f0eb0520239a9f7921b1ee905","TUR","Western Asia","Turkish","Yes","5vqyz","Yes","Yes","No","Unclear","SoSciSurvey","Undergraduates","No","No","Cognitive Style Indicator (CSI) - added after main study procedures
Measurement extension","No","No","just_reward","Unclear","20e15d6f0eb0520239a9f7921b1ee9055vqyz",304,45
"7","0eb4a7","Y",NA,"ecb1153cd73ee30290a753fb74358c19","USA","Northern America","English","Yes","g3tcw","Yes","Yes","Yes","Course Credit","SoSciSurvey","Undergraduates","No","No","No","Informed consent states, ""Dr.Chartier is conducting a study on how we attribute knowledge to other people. This work will help us understand our definition of “knowing” and how we apply this definition to the beliefs that others hold""","https://osf.io/3yjpw/","just_reward","Yes","ecb1153cd73ee30290a753fb74358c19g3tcw",91,35
"8","12c361","Y",NA,"82d647ec9366dd067a092145d7d8ee7b","GBR","Northern Europe","English","Yes","q2anz","Yes","Yes","Yes","Course Credit","SoSciSurvey","Undergraduates","No","No","None","No","No","just_reward","Yes","82d647ec9366dd067a092145d7d8ee7bq2anz",330,74
"9","1c0a06","Y",NA,"3e1f2a5e94450c8371562c74671ace76","NZL","Australia and New Zealand","English","Yes","pz9v2","Yes","Yes","Yes","Lottery","SoSciSurvey","Unclear","No","Yes","No","Confusing language about randomization is used in the wiki of the OSF, but they also state that they did the correct full randomization method. We should follow up with David.","https://osf.io/pz9v2/wiki/home/","lottery","Yes","3e1f2a5e94450c8371562c74671ace76pz9v2",58,34
"10","20a1ff","Y",NA,"10fe64c77bdcdd1f63c4f6f6767bd834","TWN","Eastern Asia","Chinese","Yes","6trj5","Yes","Yes","No","Money","SoSciSurvey","Community","No","No","No","No","No","money","Yes","10fe64c77bdcdd1f63c4f6f6767bd8346trj5",452,23
"11","2c2ba6","Y",NA,"82d647ec9366dd067a092145d7d8ee7b","GBR","Northern Europe","English","Yes","q2anz","Yes","Yes","Yes","Course Credit","SoSciSurvey","Undergraduates","No","No","None","No","No","both_questions","Yes","82d647ec9366dd067a092145d7d8ee7bq2anz",10,NA
"12","2f579c","Y",NA,"ec35cfeaedd64eccef16c265b2ba179f","DEU","Western Europe","German","Yes","y5dw7","Yes","Yes","No","Unclear","SoSciSurvey","Undergraduates","No","No","No","No","No","just_reward","Unclear","ec35cfeaedd64eccef16c265b2ba179fy5dw7",332,133
"13","466ec1","Y",NA,"25c0099bdeb9900e64b3f1e17ea9cf32","POL","Eastern Europe","Polish","Yes","uxcfe","Yes","Yes","Yes","None","SoSciSurvey","Unclear","Unclear","Unclear","No","No","No","just_reward","No","25c0099bdeb9900e64b3f1e17ea9cf32uxcfe",179,45
"14","60ca61","Y",NA,"2c70764140dc2267dc65e463842c75dd","HUN","Eastern Europe","Hungarian","Yes","5pnvc","Yes","Yes","No","Course Credit","SoSciSurvey","Undergraduates","Unclear","Both","No","No","No","just_reward","Yes","2c70764140dc2267dc65e463842c75dd5pnvc",658,278
"15","612ed8","Y","this team was separate but sent out the link for anonther team","bfe85dfa8a47470e2600b4bae1dfe4c1","DEU","Western Europe","German","Yes","5ab6f","Yes","Yes","No","None","SoSciSurvey","Undergraduates","No","No","Julie + experience",NA,NA,"lottery","No","bfe85dfa8a47470e2600b4bae1dfe4c15ab6f",27,NA
"16","6898ef","Y",NA,"bfe85dfa8a47470e2600b4bae1dfe4c1","DEU","Western Europe","German","Yes","rx4fp","Yes","Yes","No","None","SoSciSurvey","Undergraduates","No","No","Julie + experience",NA,NA,"no_reward","No","bfe85dfa8a47470e2600b4bae1dfe4c1rx4fp",290,82
"17","6c0ba6","Y",NA,"c22875ee12b4cdfb8843ead3b8e1ddf8","USA","Northern America","English","Yes","9673d","Yes","Yes","Yes","Course Credit","SoSciSurvey","Undergraduates","No","No","No","Informed consent stated that ""This study is on what people think another person knows. Specifically, you will read a storyabout people and what they think to be true, then you will answer a few questions about these stories, followed by a very brief questionnaire about yourself."" - which deviates from how other studies provided consent and may have tipped participants off on the true purpose of the study.","https://osf.io/hnea7/","just_reward","Yes","c22875ee12b4cdfb8843ead3b8e1ddf89673d",164,72
"18","6d2b97","Y",NA,"de5a43985156a022e44511202ccd5449","ROU","Eastern Europe","Romanian","Yes","p6459","Yes","Yes","Yes","Course Credit","SoSciSurvey","Undergraduates","No","No","No","Some changes on wording","https://osf.io/ae7uv/","just_reward","Yes","de5a43985156a022e44511202ccd5449p6459",661,218
